target,meets_target,method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target,stop_when_exact
0.5,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00448,1,5,1,3000,3,True,True,0.506,0.0362089995178394,0.04033299792354228,109.32115897594485,0.036541998269967735,0.035270501030026935,0.03691700112540275,16000000,107446272,1216.902,0.0,0.0,0.0,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00448,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,17081344,1216.902,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00448,,,,,,,,
0.5,True,branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64::main-s00241,1,3,1,3000,3,True,True,0.501,0.040041000829660334,0.049294050768367,121.29427399122505,0.040166500184568577,0.03970900070271455,0.04025000089313835,24260096,115032064,2977.957,3.039,1.32,48.163,0.0,0.0,0.0,main-s00241,nomic-msmarco-d64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64,32000000000,270336,24530432,2979.475,nomic-msmarco-d64::main-s00224,0,42,2048,8192,False,,,
0.5,True,prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-1024-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00392,1,3,1,3000,3,True,True,0.503,0.036833000194747,0.0456669986306224,111.1678219785972,0.03670800106192473,0.036541998269967735,0.03716649916896131,20000000,104431616,2927.925,0.0,0.0,0.0,1.935,6.0,0.065,nomic-msmarco-d64-binary-main-s00392,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,270336,20270336,2945.889,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00336,,,,,,1,0,True
0.8,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00449,1,28,1,3000,3,True,True,0.801,0.09029200009535998,0.10483305122761521,271.6083680134034,0.09091650099435356,0.08866600001056213,0.09118749949266203,16000000,107446272,6758.865,0.0,0.0,0.0,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00449,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,17081344,6758.865,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00449,,,,,,,,
0.8,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00467,1,28,1,3000,3,True,True,0.801,0.09802099884836935,0.11420805003581336,295.29249000552227,0.09818800026550889,0.09662500087870285,0.09929200132319238,25026560,116867072,6758.865,28.0,0.0,119.19,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00467,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,26107904,6758.865,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00449,0,42,2048,8192,False,,,
0.8,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00511,1,28,1,3000,3,True,True,0.801,0.09020800280268304,0.10554199980106205,271.81718904103036,0.09050000153365545,0.08937500024330802,0.09068699910130817,20000000,104218624,6758.865,0.0,0.0,0.0,1.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00511,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,21081344,6758.865,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00449,,,,,,0,0,False
0.9,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00450,1,60,1,3000,3,True,True,0.901,0.1661455007706536,0.1939190997291007,499.05002701780177,0.1660625002841698,0.16566700105613563,0.16656250045343768,16000000,107347968,14475.418,0.0,0.0,0.0,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00450,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,17081344,14475.418,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00450,,,,,,,,
0.9,True,branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-64-seed42,nomic-msmarco-d64::main-s00063,1,15,1,3000,3,True,True,0.924,0.2594170000520535,0.36912710220349254,794.899967047968,0.2595209971332224,0.25810450097196735,0.2610420015116688,24015872,101498880,1389.31,500.775,105271.822,20726.76,0.0,0.0,0.0,main-s00063,nomic-msmarco-d64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64,32000000000,16896,24032768,235776.79,nomic-msmarco-d64::main-s00035,0,42,32,512,True,,,
0.9,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00512,1,60,1,3000,3,True,True,0.901,0.17068799934349954,0.1967110492842039,511.224281090108,0.1692709975031903,0.16895799853955396,0.1734160014166264,20000000,105070592,14365.447,0.0,0.0,0.0,1.925,120.0,0.075,nomic-msmarco-d64-binary-main-s00512,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,21081344,14475.418,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00450,,,,,,1,0,True
0.95,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00451,1,123,1,3000,3,True,True,0.951,0.3202084990334697,0.3728351010067854,961.5866079911939,0.3187710008205613,0.3185420009685913,0.32268749782815576,16000000,107347968,29700.991,0.0,0.0,0.0,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00451,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,17081344,29700.991,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00451,,,,,,,,
