method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,target,repeat_status,repeat_setting_id,repeat_p50_ms,repeat_p95_ms,repeat_recall,repeat_meets_target,repeat_process_p50_min_ms,repeat_process_p50_max_ms,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target,stop_when_exact
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-1024-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00336,1,3,1,1000,1,True,True,0.557,0.01570799940964207,0.01791604790923884,15.877963985985843,0.01570799940964207,0.01570799940964207,0.01570799940964207,8366896,80281600,1583.906,0.0,0.0,0.0,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00336,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,139264,8506160,1583.906,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00336,0.5,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00336,0.015792000340297818,0.018124999769497663,0.557,True,0.015749999874969944,0.015875000826781616,,,,,,,,
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00238,1,2,1,1000,1,True,True,0.551,0.014125002053333446,0.023585101189382836,15.454824057087535,0.014125002053333446,0.014125002053333446,0.014125002053333446,10490416,84230144,84.41,40.971,1214.715,167.229,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00238,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,34816,10525232,4230.661,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00224,0.5,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00238,0.014582998119294643,0.025210099011019328,0.551,True,0.01445800080546178,0.014625002222601324,0,42,32,8192,True,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-1024-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00392,1,3,1,1000,1,True,True,0.557,0.016292000509565696,0.019208050616725814,16.307964993757196,0.016292000509565696,0.016292000509565696,0.016292000509565696,10458620,77414400,1330.579,0.0,0.0,0.0,1.417,6.0,0.583,qwen-quora-d32-binary-main-s00392,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,139264,10597884,1583.906,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00336,0.5,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00392,0.016292000509565696,0.019291998069093097,0.557,True,0.016166999557754025,0.016458499885629863,,,,,,1,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00449,1,16,1,1000,1,True,True,0.803,0.030499999411404133,0.03342319996590958,30.839736933558015,0.030499999411404133,0.030499999411404133,0.030499999411404133,8366896,79183872,2166.455,0.0,0.0,0.0,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00449,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,8923952,2166.455,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00449,0.8,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00449,0.03079200178035535,0.03362500137882307,0.803,True,0.03058299989788793,0.031083000067155808,,,,,,,,
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00242,1,7,1,1000,1,True,True,0.819,0.028250000468688086,0.041294051516160835,29.61228798085358,0.028250000468688086,0.028250000468688086,0.028250000468688086,10490416,84049920,677.045,84.29,2558.716,308.303,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00242,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,34816,10525232,14813.314,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00225,0.8,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00242,0.029499999072868377,0.04404825067467751,0.819,True,0.02933349969680421,0.029667000490007922,0,42,128,8192,True,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00508,1,16,1,1000,1,True,True,0.803,0.031604498872184195,0.035166051748092286,31.662378067267127,0.031604498872184195,0.031604498872184195,0.031604498872184195,10458620,77086720,1783.422,0.0,0.0,0.0,1.364,32.0,0.636,qwen-quora-d32-binary-main-s00508,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,11015676,2166.455,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00449,0.8,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00508,0.0317919984809123,0.035832999856211245,0.803,True,0.0317089979944285,0.031874998967396095,,,,,,1,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00450,1,35,1,1000,1,True,True,0.901,0.049666999984765425,0.05550415044126566,50.13090498687234,0.049666999984765425,0.049666999984765425,0.049666999984765425,8366896,78036992,4732.377,0.0,0.0,0.0,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00450,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,8923952,4732.377,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00450,0.9,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00450,0.04979199911758769,0.055252048696274855,0.901,True,0.049250000301981345,0.05020800017518923,,,,,,,,
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00245,1,12,1,1000,1,True,True,0.906,0.04204200013191439,0.05767324910266324,43.88825097339577,0.04204200013191439,0.04204200013191439,0.04204200013191439,10490416,84082688,1058.999,132.935,4025.511,482.932,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00245,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,34816,10525232,25298.906,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00226,0.9,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00245,0.04316649938118644,0.05996104846417437,0.906,True,0.04258350054442417,0.043770998672698624,0,42,128,8192,True,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00512,1,35,1,1000,1,True,True,0.901,0.04985449959349353,0.05704105115000857,49.75517100683646,0.04985449959349353,0.04985449959349353,0.04985449959349353,10458620,76906496,3803.984,0.0,0.0,0.0,1.352,70.0,0.648,qwen-quora-d32-binary-main-s00512,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,11015676,4732.377,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00450,0.9,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00512,0.049666999984765425,0.05750000127591193,0.901,True,0.04918749982607551,0.04995900053472724,,,,,,1,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00451,1,67,1,1000,1,True,True,0.95,0.08033300036913715,0.08896105100575369,80.79449203796685,0.08033300036913715,0.08033300036913715,0.08033300036913715,8366896,78036992,9044.784,0.0,0.0,0.0,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00451,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,8923952,9044.784,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00451,0.95,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00451,0.0805000017862767,0.08845800039125606,0.95,True,0.07974999971338548,0.0809580014902167,,,,,,,,
