depth,top_k,queries,mean_matched_rows,median_matched_rows,p95_matched_rows,balanced_rows,reference_matches,neighbor_survival,independence_survival,independence_error
1,1,1000,632301.668,765666.0,765666.0,500000.0,813,0.813,0.813,0.0
1,10,1000,632301.668,765666.0,765666.0,500000.0,7908,0.7908,0.7908,0.0
1,100,1000,632301.668,765666.0,765666.0,500000.0,76539,0.76539,0.76539,0.0
2,1,1000,506585.888,707016.0,707016.0,250000.0,725,0.725,0.7235699999999999,-0.0014300000000000423
2,10,1000,506585.888,707016.0,707016.0,250000.0,6924,0.6924,0.68862864,-0.0037713600000000014
2,100,1000,506585.888,707016.0,707016.0,250000.0,65848,0.65848,0.6521199339,-0.00636006609999995
4,1,1000,318497.844,167915.0,539101.0,62500.0,616,0.616,0.60490452,-0.011095480000000046
4,10,1000,318497.844,167915.0,539101.0,62500.0,5491,0.5491,0.5398848537600001,-0.009215146239999972
4,100,1000,318497.844,167915.0,539101.0,62500.0,49817,0.49817,0.488463915288456,-0.009706084711543994
8,1,1000,27193.765,14644.0,83384.0,3906.25,233,0.233,0.23488861517467818,0.001888615174678171
8,10,1000,27193.765,14644.0,83384.0,3906.25,1850,0.185,0.17502725444355557,-0.009972745556444423
8,100,1000,27193.765,14644.0,83384.0,3906.25,13114,0.13114,0.126699713485367,-0.004440286514633018
16,1,1000,521.54,113.0,2571.0,15.2587890625,51,0.051,0.04074247756286592,-0.010257522437134077
16,10,1000,521.54,113.0,2571.0,15.2587890625,295,0.0295,0.0226978467341145,-0.006802153265885499
16,100,1000,521.54,113.0,2571.0,15.2587890625,1400,0.014,0.01136996402760377,-0.0026300359723962306
32,1,1000,0.189,0.0,1.0,0.00023283064365386963,1,0.001,0.0011959935710530853,0.00019599357105308524
32,10,1000,0.189,0.0,1.0,0.00023283064365386963,5,0.0005,0.0003369508322964497,-0.00016304916770355034
32,100,1000,0.189,0.0,1.0,0.00023283064365386963,15,0.00015,8.224684293928494e-05,-6.775315706071505e-05
