depth,top_k,queries,mean_matched_rows,median_matched_rows,p95_matched_rows,balanced_rows,reference_matches,neighbor_survival,independence_survival,independence_error
1,1,1000,265632.815,307769.0,307769.0,261465.5,857,0.857,0.857,0.0
1,10,1000,265632.815,307769.0,307769.0,261465.5,7927,0.7927,0.7927,0.0
1,100,1000,265632.815,307769.0,307769.0,261465.5,72875,0.72875,0.72875,0.0
2,1,1000,155815.71,181469.0,246257.0,130732.75,684,0.684,0.688171,0.004170999999999925
2,10,1000,155815.71,181469.0,246257.0,130732.75,6111,0.6111,0.6108546199999999,-0.00024538000000007276
2,100,1000,155815.71,181469.0,246257.0,130732.75,53660,0.5366,0.5361486625,-0.00045133749999992645
4,1,1000,72775.786,74669.0,134349.0,32683.1875,551,0.551,0.55667528532,0.005675285319999945
4,10,1000,72775.786,74669.0,134349.0,32683.1875,4654,0.4654,0.4668446293163308,0.0014446293163308255
4,100,1000,72775.786,74669.0,134349.0,32683.1875,38528,0.38528,0.3890716699856849,0.0037916699856848646
8,1,1000,7329.41,4505.0,20518.0,2042.69921875,323,0.323,0.3123669380868257,-0.010633061913174313
8,10,1000,7329.41,4505.0,20518.0,2042.69921875,2093,0.2093,0.20083570903669157,-0.008464290963308446
8,100,1000,7329.41,4505.0,20518.0,2042.69921875,13147,0.13147,0.1316419176718929,0.00017191767189289608
16,1,1000,251.069,101.5,1061.0,7.9792938232421875,126,0.126,0.12043236597761378,-0.00556763402238622
16,10,1000,251.069,101.5,1061.0,7.9792938232421875,599,0.0599,0.05395126222572013,-0.005948737774279872
16,100,1000,251.069,101.5,1061.0,7.9792938232421875,2418,0.02418,0.02490934363139561,0.0007293436313956098
32,1,1000,0.138,0.0,1.0,0.0001217543613165617,16,0.016,0.011760137038162708,-0.004239862961837293
32,10,1000,0.138,0.0,1.0,0.0001217543613165617,38,0.0038,0.0019668126037843564,-0.0018331873962156436
32,100,1000,0.138,0.0,1.0,0.0001217543613165617,64,0.00064,0.0003639805863363984,-0.00027601941366360165
