method,clusters,router,top_k,probes,repetitions,reasons,source_setting_ids,setting_id,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,100,4,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00540', 'target': 0.40157}]",['main-s00540'],nomic-msmarco-d256-followup-s00019,1000,1,True,True,0.40278,0.14356300016515888,0.16262709796137642,144.33346896475996,0.14356300016515888,0.14356300016515888,0.14356300016515888,40000000,184434688,1065.783,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,1,659,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00250', 'target': 0.992}]",['main-s00250'],nomic-msmarco-d256-followup-s00002,1000,1,True,True,0.992,6.583207999938168,7.014083348985878,6588.5529359584325,6.583207999938168,6.583207999938168,6.583207999938168,40000000,184434688,160841.721,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,100,2,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00360', 'target': 0.28669}]",['main-s00360'],nomic-msmarco-d256-followup-s00021,1000,1,True,True,0.30728,0.11797949991887435,0.13280655002745334,118.54062699785572,0.11797949991887435,0.11797949991887435,0.11797949991887435,40000000,184434688,535.118,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-1024-seed42,1,1,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00120', 'target': 0.234}, {'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00125', 'target': 0.217}, {'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00015', 'target': 0.101}]","['main-s00120', 'main-s00125', 'main-s00015']",nomic-msmarco-d256-followup-s00003,1000,1,True,True,0.445,0.06422949991247151,0.08843160048854769,65.75312094719266,0.06422949991247151,0.06422949991247151,0.06422949991247151,40000000,180781056,1035.91,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-1024-seed42,100,2,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00360', 'target': 0.28669}]",['main-s00360'],nomic-msmarco-d256-followup-s00020,1000,1,True,True,0.38525,0.1364169984299224,0.17370899877278134,137.55670501996065,0.1364169984299224,0.1364169984299224,0.1364169984299224,40000000,180781056,2073.908,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-1024-seed42,100,6,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00366', 'target': 0.55744}]",['main-s00366'],nomic-msmarco-d256-followup-s00015,1000,1,True,True,0.56146,0.30185449941200204,0.36789999994653044,304.3898989453737,0.30185449941200204,0.30185449941200204,0.30185449941200204,40000000,180781056,6112.112,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-64-seed42,100,1,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00540', 'target': 0.40157}, {'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00360', 'target': 0.28669}, {'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00180', 'target': 0.11339}, {'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00025', 'target': 0.04154}]","['main-s00540', 'main-s00360', 'main-s00180', 'main-s00025']",nomic-msmarco-d256-followup-s00017,1000,1,True,True,0.45894,0.6651040002907394,1.1390312500225264,722.7243469642417,0.6651040002907394,0.6651040002907394,0.6651040002907394,40000000,147341312,17173.241,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-64-seed42,100,3,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00546', 'target': 0.65829}]",['main-s00546'],nomic-msmarco-d256-followup-s00012,1000,1,True,True,0.69539,1.9577084985940019,2.531706550507806,1969.2265080448124,1.9577084985940019,1.9577084985940019,1.9577084985940019,40000000,147341312,49531.735,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-64-seed42,1,27,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00250', 'target': 0.992}]",['main-s00250'],nomic-msmarco-d256-followup-s00000,1000,1,True,True,0.992,16.10422900012054,17.862445798709814,15974.18295602256,16.10422900012054,16.10422900012054,16.10422900012054,40000000,147341312,423030.567,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,100,27,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00546', 'target': 0.65829}]",['main-s00546'],nomic-msmarco-d256-followup-s00014,1000,1,True,True,0.66116,0.384082999516977,0.4363854512121179,386.4288019540254,0.384082999516977,0.384082999516977,0.384082999516977,40000000,184090624,6865.132,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,10,2,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00330', 'target': 0.4213}]",['main-s00330'],nomic-msmarco-d256-followup-s00009,1000,1,True,True,0.4542,0.1021249991026707,0.11616700066952035,103.69247707421891,0.1021249991026707,0.1021249991026707,0.1021249991026707,40000000,184090624,535.118,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,1,512,1,"[{'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00430'}, {'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00426'}]","['main-s00430', 'main-s00426']",nomic-msmarco-d256-followup-s00024,1000,1,True,True,0.989,4.967166500136955,5.268839599193598,4959.761207013798,4.967166500136955,4.967166500136955,4.967166500136955,40000000,184090624,125054.981,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-1024-seed42,10,1,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00150', 'target': 0.185}, {'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00155', 'target': 0.1405}, {'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00020', 'target': 0.0718}]","['main-s00150', 'main-s00155', 'main-s00020']",nomic-msmarco-d256-followup-s00010,1000,1,True,True,0.3678,0.06795800072723068,0.09254310207325034,69.54799101367826,0.06795800072723068,0.06795800072723068,0.06795800072723068,40000000,180649984,1035.91,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-1024-seed42,100,3,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00540', 'target': 0.40157}]",['main-s00540'],nomic-msmarco-d256-followup-s00018,1000,1,True,True,0.4499,0.17756300258042756,0.22625210185651667,178.8601359257882,0.17756300258042756,0.17756300258042756,0.17756300258042756,40000000,180649984,3082.531,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-1024-seed42,100,12,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00546', 'target': 0.65829}]",['main-s00546'],nomic-msmarco-d256-followup-s00013,1000,1,True,True,0.66406,0.5317289997037733,0.6260750007641035,534.1116250165214,0.5317289997037733,0.5317289997037733,0.5317289997037733,40000000,180649984,12064.205,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-64-seed42,10,21,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00450', 'target': 0.9721}]",['main-s00450'],nomic-msmarco-d256-followup-s00005,1000,1,True,True,0.9734,13.00864599943452,14.611879803123884,12915.343087981455,13.00864599943452,13.00864599943452,13.00864599943452,40000000,147701760,329776.977,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,10,511,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00450', 'target': 0.9721}]",['main-s00450'],nomic-msmarco-d256-followup-s00007,1000,1,True,True,0.9721,4.946917000779649,5.2569002991731395,4939.76228700194,4.946917000779649,4.946917000779649,4.946917000779649,40000000,184008704,124812.426,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,100,512,1,"[{'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00474'}, {'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00470'}, {'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00478'}]","['main-s00474', 'main-s00470', 'main-s00478']",nomic-msmarco-d256-followup-s00025,1000,1,True,True,0.94992,5.009167000025627,5.369304799569363,5010.512412831304,5.009167000025627,5.009167000025627,5.009167000025627,40000000,184008704,125054.981,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,100,13,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00366', 'target': 0.55744}]",['main-s00366'],nomic-msmarco-d256-followup-s00016,1000,1,True,True,0.56379,0.24347899852728005,0.2767666508589173,244.1527379960462,0.24347899852728005,0.24347899852728005,0.24347899852728005,40000000,184008704,3385.764,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-1024-seed42,1,198,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00250', 'target': 0.992}]",['main-s00250'],nomic-msmarco-d256-followup-s00001,1000,1,True,True,0.992,7.456833500327775,8.09848159988178,7477.635477978765,7.456833500327775,7.456833500327775,7.456833500327775,40000000,180994048,192942.856,0.0,0.0,0.0,0.0,0.0,0.0,,
