method,clusters,router,top_k,probes,repetitions,start_depth,candidate_target,reasons,source_setting_ids,setting_id,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,1,527,1,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00394', 'target': 0.99}]",['main-s00394'],nomic-msmarco-d256-followup-s00031,3000,3,True,True,0.99,5.544812498555984,6.039425002563803,16624.817673971847,5.528749999939464,5.508021000423469,5.578437499934807,44000000,157155328,128686.342,0.0,0.0,0.0,1.0,0.0,0.0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,100,513,1,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00405', 'target': 0.95}]",['main-s00405'],nomic-msmarco-d256-followup-s00040,3000,3,True,True,0.95003,5.4885624995222315,6.012656249185966,16525.44875696185,5.494624998391373,5.47066699982679,5.4985625010886,44000000,157155328,125302.799,0.0,0.0,0.0,1.0,0.0,0.0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,100,9,1,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00402', 'target': 0.5}]",['main-s00402'],nomic-msmarco-d256-followup-s00037,3000,3,True,True,0.51447,0.20487499932642095,0.2356333505304064,618.7992490740726,0.20625000070140231,0.20166650028841104,0.20662499991885852,44000000,157155328,2366.209,0.0,0.0,0.0,1.0,0.0,0.0
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,10,511,1,,,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00450', 'target': 0.9721}]",['main-s00450'],nomic-msmarco-d256-followup-s00007,3000,3,True,True,0.9721,4.9575625016586855,5.2598601001591305,14843.925337041583,4.9580000013520475,4.947666498992476,4.966979498931323,40000000,184221696,124812.426,0.0,0.0,0.0,0.0,0.0,0.0
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,100,512,1,,,"[{'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00474'}, {'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00470'}, {'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00478'}]","['main-s00474', 'main-s00470', 'main-s00478']",nomic-msmarco-d256-followup-s00025,3000,3,True,True,0.94992,5.022812500101281,5.361808648558508,15057.221173887228,5.025958500482375,5.007270998248714,5.027562501709326,40000000,184221696,125054.981,0.0,0.0,0.0,0.0,0.0,0.0
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,100,13,1,,,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00366', 'target': 0.55744}]",['main-s00366'],nomic-msmarco-d256-followup-s00016,3000,3,True,True,0.56379,0.24041600045165978,0.27437500102678314,724.4954720335954,0.24062549891823437,0.2391460020589875,0.2426249993732199,40000000,184221696,3385.764,0.0,0.0,0.0,0.0,0.0,0.0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,10,289,1,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00399', 'target': 0.95}]",['main-s00399'],nomic-msmarco-d256-followup-s00035,3000,3,True,True,0.9501,3.2097500006784685,3.5443976015812946,9649.535831988032,3.23062499955995,3.1241455017152475,3.2542714980081655,44000000,157155328,70870.196,0.0,0.0,0.0,1.0,0.0,0.0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,10,35,1,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00397', 'target': 0.8}]",['main-s00397'],nomic-msmarco-d256-followup-s00033,3000,3,True,True,0.8008,0.47914599963405635,0.5462982515382464,1441.468330049247,0.4827920001844177,0.46568749894504435,0.49110399959317874,44000000,157155328,8847.072,0.0,0.0,0.0,1.0,0.0,0.0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,1,53,1,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00392', 'target': 0.9}]",['main-s00392'],nomic-msmarco-d256-followup-s00029,3000,3,True,True,0.901,0.6597499996132683,0.7456249988536001,1986.211618037487,0.6570840014319401,0.6513749995065155,0.6709794997732388,44000000,157155328,13302.015,0.0,0.0,0.0,1.0,0.0,0.0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,10,118,1,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00398', 'target': 0.9}]",['main-s00398'],nomic-msmarco-d256-followup-s00034,3000,3,True,True,0.9002,1.3603335009975126,1.5270997007974074,4096.9226198940305,1.3408539998636115,1.333082998826285,1.4033544994163094,44000000,157073408,29231.202,0.0,0.0,0.0,1.0,0.0,0.0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,10,3,1,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00396', 'target': 0.5}]",['main-s00396'],nomic-msmarco-d256-followup-s00032,3000,3,True,True,0.5101,0.1156250000349246,0.1311270516453078,349.1822539945133,0.11629100117716007,0.11404199904063717,0.11683299999276642,44000000,157073408,801.38,0.0,0.0,0.0,1.0,0.0,0.0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,100,246,1,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00404', 'target': 0.9}]",['main-s00404'],nomic-msmarco-d256-followup-s00039,3000,3,True,True,0.90028,2.7559170011954848,3.0287271003544443,8287.902789055806,2.736937498411862,2.7155210027558496,2.82591649920505,44000000,157073408,60451.827,0.0,0.0,0.0,1.0,0.0,0.0
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,1,512,1,,,"[{'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00430'}, {'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00426'}]","['main-s00430', 'main-s00426']",nomic-msmarco-d256-followup-s00024,3000,3,True,True,0.989,5.129395998665132,5.641461852610519,15441.926909221365,5.16268750106974,4.965604501194321,5.330979001882952,40000000,184401920,125054.981,0.0,0.0,0.0,0.0,0.0,0.0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,10,994,1,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00400', 'target': 0.99}]",['main-s00400'],nomic-msmarco-d256-followup-s00036,3000,3,True,True,0.99,10.647020499163773,11.501862499244453,31991.14189609827,10.679228998924373,10.45512500058976,10.774812999443384,44000000,157368320,242528.686,0.0,0.0,0.0,1.0,0.0,0.0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,1,15,1,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00391', 'target': 0.8}]",['main-s00391'],nomic-msmarco-d256-followup-s00028,3000,3,True,True,0.804,0.25099999766098335,0.28929099808010506,757.0971440800349,0.2529379999032244,0.24729200049478095,0.2536249994591344,44000000,157368320,3886.685,0.0,0.0,0.0,1.0,0.0,0.0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,1,2,1,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00390', 'target': 0.5}]",['main-s00390'],nomic-msmarco-d256-followup-s00027,3000,3,True,True,0.552,0.10145900159841403,0.11433305098762503,307.01040307758376,0.10099999963131268,0.10060400018119253,0.10272899817209691,44000000,157368320,535.118,0.0,0.0,0.0,1.0,0.0,0.0
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,1,659,1,,,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00250', 'target': 0.992}]",['main-s00250'],nomic-msmarco-d256-followup-s00002,3000,3,True,True,0.992,6.379645998094929,6.7773642509564525,19129.19303703893,6.344646002617083,6.321896000372362,6.495354000435327,40000000,184188928,160841.721,0.0,0.0,0.0,0.0,0.0,0.0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,100,87,1,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00403', 'target': 0.8}]",['main-s00403'],nomic-msmarco-d256-followup-s00038,3000,3,True,True,0.80098,1.0608960001263767,1.1815913503596676,3187.4675159888284,1.0628330001054564,1.0557709993008757,1.0628745003486983,44000000,157106176,21658.065,0.0,0.0,0.0,1.0,0.0,0.0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,100,1414,1,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00406', 'target': 0.99}]",['main-s00406'],nomic-msmarco-d256-followup-s00041,3000,3,True,True,0.99002,14.645333498265245,15.543083051670692,44043.386008925154,14.637250000305357,14.635958501457935,14.670395999928587,44000000,157106176,345279.339,0.0,0.0,0.0,1.0,0.0,0.0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,1,125,1,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00393', 'target': 0.95}]",['main-s00393'],nomic-msmarco-d256-followup-s00030,3000,3,True,True,0.95,1.4163334999466315,1.5818770998521359,4261.277574954875,1.4157499990687938,1.403771000695997,1.43116649815056,44000000,157106176,30948.356,0.0,0.0,0.0,1.0,0.0,0.0
