depth,top_k,queries,mean_matched_rows,median_matched_rows,p95_matched_rows,balanced_rows,reference_matches,neighbor_survival,independence_survival,independence_error
1,1,1000,632301.668,765666.0,765666.0,500000.0,812,0.812,0.812,0.0
1,10,1000,632301.668,765666.0,765666.0,500000.0,7942,0.7942,0.7942,0.0
1,100,1000,632301.668,765666.0,765666.0,500000.0,77606,0.77606,0.77606,0.0
2,1,1000,506585.888,707016.0,707016.0,250000.0,726,0.726,0.7202440000000001,-0.005755999999999872
2,10,1000,506585.888,707016.0,707016.0,250000.0,6974,0.6974,0.6929395,-0.004460499999999978
2,100,1000,506585.888,707016.0,707016.0,250000.0,67191,0.67191,0.6664880886,-0.005421911400000035
4,1,1000,318497.844,167915.0,539101.0,62500.0,623,0.623,0.6078859360000001,-0.015114063999999927
4,10,1000,318497.844,167915.0,539101.0,62500.0,5600,0.56,0.5528271331,-0.007172866900000074
4,100,1000,318497.844,167915.0,539101.0,62500.0,51617,0.51617,0.5090702669535659,-0.007099733046434076
8,1,1000,27193.765,14644.0,83384.0,3906.25,248,0.248,0.24185535767475907,-0.006144642325240923
8,10,1000,27193.765,14644.0,83384.0,3906.25,1957,0.1957,0.1887556969026989,-0.006944303097301124
8,100,1000,27193.765,14644.0,83384.0,3906.25,14596,0.14596,0.14158718414295957,-0.004372815857040441
16,1,1000,521.54,113.0,2571.0,15.2587890625,54,0.054,0.04541240919992831,-0.008587590800071689
16,10,1000,521.54,113.0,2571.0,15.2587890625,328,0.0328,0.02668687278811377,-0.006113127211886234
16,100,1000,521.54,113.0,2571.0,15.2587890625,1587,0.01587,0.014209362990418126,-0.001660637009581873
32,1,1000,0.189,0.0,1.0,0.00023283064365386963,1,0.001,0.001552583490704525,0.0005525834907045249
32,10,1000,0.189,0.0,1.0,0.00023283064365386963,4,0.0004,0.000493436078715305,9.343607871530496e-05
32,100,1000,0.189,0.0,1.0,0.00023283064365386963,15,0.00015,0.00013758318426038827,-1.2416815739611721e-05
