method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target,stop_when_exact
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00450,1,60,1,1000,1,True,True,0.901,0.16672949823259842,0.19497885004966517,166.7143929298618,0.16672949823259842,0.16672949823259842,0.16672949823259842,16000000,107560960,14475.418,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00451,1,123,1,1000,1,True,True,0.951,0.3219999998691492,0.3756249972866499,321.95820897686644,0.3219999998691492,0.3219999998691492,0.3219999998691492,16000000,107560960,29700.991,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00455,100,17,1,1000,1,True,True,0.50894,0.09077049980987795,0.10216909959126497,90.8980530257395,0.09077049980987795,0.09077049980987795,0.09077049980987795,16000000,107560960,4114.464,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-1024-seed42,nomic-msmarco-d64-binary-main-s00344,100,39,1,1000,1,True,True,0.80408,0.36839600033999886,0.44642320135608315,372.0189270643459,0.36839600033999886,0.36839600033999886,0.36839600033999886,16000000,107167744,37792.393,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-1024-seed42,nomic-msmarco-d64-binary-main-s00342,1,1024,1,1000,1,True,True,1.0,8.572916500270367,8.69538749975618,8600.759124048636,8.572916500270367,8.572916500270367,8.572916500270367,16000000,107167744,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-1024-seed42,nomic-msmarco-d64-binary-main-s00337,1,16,1,1000,1,True,True,0.804,0.14343749899126124,0.1809684490581276,145.55537196065416,0.14343749899126124,0.14343749899126124,0.14343749899126124,16000000,107167744,15517.622,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-256-seed42,nomic-msmarco-d64-binary-main-s00229,1,138,1,1000,1,True,True,0.999,4.55122899984417,4.836720851199061,4551.122609966114,4.55122899984417,4.55122899984417,4.55122899984417,16000000,104382464,539529.236,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-256-seed42,nomic-msmarco-d64-binary-main-s00230,1,256,1,1000,1,True,True,1.0,8.410437498241663,8.52113540058781,8419.467797983089,8.410437498241663,8.410437498241663,8.410437498241663,16000000,104382464,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-256-seed42,nomic-msmarco-d64-binary-main-s00226,1,18,1,1000,1,True,True,0.9,0.5845004998263903,0.7016395982645918,589.0727079859062,0.5845004998263903,0.5845004998263903,0.5845004998263903,16000000,104382464,70290.696,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-64-seed42,nomic-msmarco-d64-binary-main-s00122,100,19,1,1000,1,True,True,0.95102,2.5965834993257886,2.9394631483228295,2584.488291042362,2.5965834993257886,2.5965834993257886,2.5965834993257886,16000000,92815360,302541.316,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
