method,clusters,router,setting_id,top_k,probes,repetitions,start_depth,candidate_target,stop_when_exact,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00511,1,28,1,0,0,False,3000,3,True,True,0.801,0.09020800280268304,0.10554199980106205,271.81718904103036,0.09050000153365545,0.08937500024330802,0.09068699910130817,20000000,104218624,6758.865,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00547,100,333,1,0,0,False,3000,3,True,True,0.95013,0.8226669997384306,0.9380586479892371,2469.203261051007,0.824271000965382,0.8174585000233492,0.8266874974651728,20000000,104431616,80876.209,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00473,1,123,1,,,,3000,3,True,True,0.951,0.3451664997555781,0.4044190518470714,1038.3059688538196,0.34552099896245636,0.34289550058019813,0.34699999923759606,25026560,116785152,29700.991,123.0,0.0,523.872,0.0,0.0,0.0,0,42,2048,8192,False
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00469,1,60,1,,,,3000,3,True,True,0.901,0.28839600236096885,0.3927184498024871,871.2307891109958,0.28789599855372217,0.28552100047818385,0.2918124991992954,25026560,116785152,11642.262,839.568,2324.552,1514.546,0.0,0.0,0.0,0,42,128,8192,True
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-1024-seed42,nomic-msmarco-d64-binary-main-s00352,1,3,1,,,,3000,3,True,True,0.503,0.040166996768675745,0.04966904998582321,121.35950511947158,0.039937500332598574,0.03985449984611478,0.04058299964526668,24267776,116342784,2945.786,3.003,0.102,47.584,0.0,0.0,0.0,0,42,2048,8192,False
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00457,100,190,1,,,,3000,3,True,True,0.90103,0.505812498886371,0.5802930982099497,1519.0240399897448,0.5061040010332363,0.5036670008848887,0.5079790007584961,16000000,107282432,45982.86,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-1024-seed42,nomic-msmarco-d64-binary-main-s00379,100,78,1,,,,3000,3,True,True,0.90106,0.7407704997604014,0.8854232009980478,2243.036848023621,0.7451670007867506,0.7258540008479031,0.7484380021196557,24267776,116293632,75868.667,78.12,2.482,1226.461,0.0,0.0,0.0,0,42,2048,8192,False
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00450,1,60,1,,,,3000,3,True,True,0.901,0.1661455007706536,0.1939190997291007,499.05002701780177,0.1660625002841698,0.16566700105613563,0.16656250045343768,16000000,107347968,14475.418,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00451,1,123,1,,,,3000,3,True,True,0.951,0.3202084990334697,0.3728351010067854,961.5866079911939,0.3187710008205613,0.3185420009685913,0.32268749782815576,16000000,107347968,29700.991,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00455,100,17,1,,,,3000,3,True,True,0.50894,0.09008350025396794,0.1016270489344606,271.29489411163377,0.08983400039141998,0.08981249993667006,0.09054149995790794,16000000,107347968,4114.464,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
