top_k,node_budget,probability,router,probes,leaf_size,seeds_found,missing_seeds,unqualified_seeds,plotted,recall_percent_mean,recall_percent_min,recall_percent_max,query_ms_median,query_ms_min,query_ms_max
1,128,0,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,114,2048,"[7, 23, 42]",[],[],True,95.0,95.0,95.0,1.0369170013291296,1.0169164979743073,1.0385210007370915
1,128,0.1,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,114,2048,"[7, 23, 42]",[],[],True,95.0,95.0,95.0,1.034229000651976,1.0241875006613554,1.0372705000918359
1,128,0.2,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,114,2048,"[7, 23, 42]",[],[],True,95.0,95.0,95.0,1.0268959995300975,1.0054585000034422,1.0340419994463446
1,8192,0,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,114,2048,"[7, 23, 42]",[],[],True,95.0,95.0,95.0,1.015125002595596,1.0038750006060582,1.025062501867069
1,8192,0.1,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,114,2048,"[7, 23, 42]",[],[],True,95.0,95.0,95.0,1.0361249987909105,1.033207998261787,1.036562500303262
1,8192,0.2,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,114,2048,"[7, 23, 42]",[],[],True,95.0,95.0,95.0,1.014313000268885,0.9991460010496667,1.0356875009165378
100,128,0,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,287,2048,"[7, 23, 42]",[],[],True,85.747,85.747,85.747,1.2305839991313405,1.2266044977877755,1.2324580002314178
100,128,0.1,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,287,2048,"[7, 23, 42]",[],[],True,85.287,85.219,85.34,1.2185829982627183,1.2104165016353363,1.2279795009817462
100,128,0.2,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,287,2048,"[7, 23, 42]",[],[],True,84.72233333333334,84.641,84.85000000000001,1.2309585017646896,1.2304374995437684,1.2354579994280357
100,8192,0,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,287,2048,"[7, 23, 42]",[],[],True,95.014,95.014,95.014,2.592791499409941,2.5870000026770867,2.6072499986184994
100,8192,0.1,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,287,2048,"[7, 23, 42]",[],[],True,95.014,95.014,95.014,2.5909995019901544,2.5821459985309048,2.6123119987460086
100,8192,0.2,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,287,2048,"[7, 23, 42]",[],[],True,95.014,95.014,95.014,2.6209169991489034,2.594145998955355,2.6258545003656764
