method,clusters,router,setting_id,top_k,probes,repetitions,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,source_setting_id,source_target,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00013,1,114,1,0.1,23,2048,8192,False,main-s00259,0.95,1000,1,True,True,0.95,1.033207998261787,1.1197163485121564,1032.9104669654043,1.033207998261787,1.033207998261787,1.033207998261787,24260096,115032064,109276.869,114.504,15.024,1767.203,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00012,1,114,1,0.1,7,2048,8192,False,main-s00259,0.95,1000,1,True,True,0.95,1.036562500303262,1.1192749987458228,1034.2283839599986,1.036562500303262,1.036562500303262,1.036562500303262,24260096,115032064,109276.887,114.505,15.024,1767.23,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00004,1,114,1,0.1,23,2048,128,False,main-s00259,0.95,1000,1,True,True,0.95,1.0372705000918359,1.1221690492675407,1034.314956064918,1.0372705000918359,1.0372705000918359,1.0372705000918359,24260096,115032064,109276.866,114.502,15.024,1767.125,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00029,100,287,1,0,42,2048,8192,False,main-s00295,0.95,1000,1,True,True,0.95014,2.5870000026770867,2.7416478978921077,2584.372331006307,2.5870000026770867,2.5870000026770867,2.5870000026770867,24260096,114999296,276001.562,288.338,30.63,4471.62,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00032,100,287,1,0.1,42,2048,8192,False,main-s00295,0.95,1000,1,True,True,0.95014,2.5909995019901544,2.749477749603102,2591.881550026301,2.5909995019901544,2.5909995019901544,2.5909995019901544,24260096,114999296,276001.585,288.339,30.63,4471.653,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00028,100,287,1,0,23,2048,8192,False,main-s00295,0.95,1000,1,True,True,0.95014,2.592791499409941,2.7431068983787554,2590.598301965656,2.592791499409941,2.592791499409941,2.592791499409941,24260096,114999296,276001.562,288.338,30.63,4471.62,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00009,1,114,1,0,7,2048,8192,False,main-s00259,0.95,1000,1,True,True,0.95,1.025062501867069,1.109298252958979,1023.5688780230703,1.025062501867069,1.025062501867069,1.025062501867069,24260096,115064832,109276.759,114.501,15.024,1767.086,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00005,1,114,1,0.1,42,2048,128,False,main-s00259,0.95,1000,1,True,True,0.95,1.0241875006613554,1.1124315979031962,1022.9626919717703,1.0241875006613554,1.0241875006613554,1.0241875006613554,24260096,115064832,109278.769,114.509,15.024,1767.398,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00007,1,114,1,0.2,23,2048,128,False,main-s00259,0.95,1000,1,True,True,0.95,1.0268959995300975,1.1097687491201214,1026.1412330000894,1.0268959995300975,1.0268959995300975,1.0268959995300975,24260096,115064832,109286.317,114.554,15.024,1768.943,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00026,100,287,1,0.2,42,2048,128,False,main-s00295,0.95,1000,1,True,True,0.8485,1.2354579994280357,1.3194621988077415,1234.0822760197625,1.2354579994280357,1.2354579994280357,1.2354579994280357,24260096,115032064,122511.007,128.0,5.43,1976.829,0.0,0.0,0.0
