method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target
scan,1,,main-s00000,1,1,1,1000,1,True,True,1.0,8.339291998709086,8.460772949365492,8352.337001953856,8.339291998709086,8.339291998709086,8.339291998709086,16000000,95305728,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-64-seed42,main-s00042,100,44,1,1000,1,True,True,0.99026,5.83145800010243,6.153716699554934,5803.960335917509,5.83145800010243,5.83145800010243,5.83145800010243,16000000,93208576,685225.934,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-64-seed42,main-s00041,100,27,1,1000,1,True,True,0.9539,3.5931455004174495,3.9634521019252134,3584.2664370247803,3.5931455004174495,3.5931455004174495,3.5931455004174495,16000000,93208576,421148.72,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-64-seed42,main-s00034,1,9,1,1000,1,True,True,0.909,1.1921249988517957,1.4317812525405316,1199.2307241089293,1.1921249988517957,1.1921249988517957,1.1921249988517957,16000000,93208576,142630.73,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,main-s00235,100,662,1,1000,1,True,True,0.99506,5.563562499446562,5.724737503442157,5563.831679068244,5.563562499446562,5.563562499446562,5.563562499446562,16000000,105791488,641696.013,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,main-s00233,100,287,1,1000,1,True,True,0.95014,2.4236249992100056,2.556670200647204,2422.7916719100904,2.4236249992100056,2.4236249992100056,2.4236249992100056,16000000,105791488,276002.217,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,main-s00224,1,3,1,1000,1,True,True,0.501,0.03604199991968926,0.04351460011093876,36.20748697358067,0.03604199991968926,0.03604199991968926,0.03604199991968926,16000000,105791488,2979.475,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00420,1,1040,1,1000,1,True,True,0.99,2.3314999998547137,2.4677840005097096,2329.830633068923,2.3314999998547137,2.3314999998547137,2.3314999998547137,16000000,105922560,247987.295,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00427,100,2388,1,1000,1,True,True,0.995,5.247437999059912,5.403891698551888,5247.38574600633,5.247437999059912,5.247437999059912,5.247437999059912,16000000,105922560,575448.881,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00417,1,56,1,1000,1,True,True,0.8,0.15495799925702158,0.174089251231635,155.64029196684714,0.15495799925702158,0.15495799925702158,0.15495799925702158,16000000,105922560,13411.089,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,1,,main-s00001,100,1,1,1000,1,True,True,1.0,8.408812498601037,8.531145850429311,8422.736829012138,8.408812498601037,8.408812498601037,8.408812498601037,16000000,94978048,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-64-seed42,main-s00037,1,39,1,1000,1,True,True,0.995,5.117145999975037,5.4504520498085185,5091.5777490045,5.117145999975037,5.117145999975037,5.117145999975037,16000000,93241344,607160.431,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-64-seed42,main-s00036,1,33,1,1000,1,True,True,0.99,4.325249999965308,4.682766999576415,4306.32597501608,4.325249999965308,4.325249999965308,4.325249999965308,16000000,93241344,513933.508,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-64-seed42,main-s00043,100,51,1,1000,1,True,True,0.99634,6.732853998983046,7.001775299795554,6721.550993948767,6.732853998983046,6.732853998983046,6.732853998983046,16000000,93241344,794851.391,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,main-s00228,1,307,1,1000,1,True,True,0.99,2.549541501139174,2.6871437510635587,2547.4284919910133,2.549541501139174,2.549541501139174,2.549541501139174,16000000,106102784,295355.997,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,main-s00225,1,25,1,1000,1,True,True,0.803,0.22012500085111242,0.2533107506678789,225.15371902045445,0.22012500085111242,0.22012500085111242,0.22012500085111242,16000000,106102784,24107.063,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,main-s00229,1,373,1,1000,1,True,True,0.995,3.1138334998104256,3.25102915194293,3108.787693981867,3.1138334998104256,3.1138334998104256,3.1138334998104256,16000000,106102784,359406.055,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00421,1,1315,1,1000,1,True,True,0.995,2.934999500212143,3.0829252991679823,2932.3179639795853,2.934999500212143,2.934999500212143,2.934999500212143,16000000,105889792,314258.462,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
