method,clusters,router,setting_id,top_k,probes,repetitions,start_depth,candidate_target,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00581,100,969,1,0,0,3000,3,True,True,0.95006,2.1727079983975273,2.3079368484104634,6517.805168976338,2.1730625012423843,2.1684584989998257,2.1782289986731485,20000000,103677952,230920.879,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00439,1,56,1,,,3000,3,True,True,0.8,0.1675414987403201,0.18791910133586498,504.7651750501245,0.16747900008340366,0.16725000023143366,0.16770850015745964,25028096,115392512,13411.089,56.0,0.0,237.358,0.0,0.0,0.0,0,42,2048,8192,False
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00572,100,575,1,0,0,3000,3,True,True,0.90001,1.3375620001170319,1.4377268005773658,4012.1910058660433,1.336396000624518,1.3360415014176397,1.341062501523993,20000000,103661568,136621.974,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,main-s00224,1,3,1,,,3000,3,True,True,0.501,0.03554199793143198,0.04379199890536256,107.35554902930744,0.035624998417915776,0.03537500015227124,0.03566700252122246,16000000,105922560,2979.475,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00554,100,40,1,0,0,3000,3,True,True,0.50745,0.1453749991924269,0.16279404917440843,437.58314604565385,0.14587549958378077,0.14291650040831883,0.14764549996471033,20000000,103677952,9620.057,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,main-s00308,1,3,1,0,0,3000,3,True,True,0.501,0.036458000977290794,0.04495805005717557,110.16577104237513,0.03641699913714547,0.03639550050138496,0.03658299829112366,20000000,103514112,2979.475,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00590,100,1976,1,0,0,3000,3,True,True,0.99,4.289603999495739,4.468933649150131,12887.302414925216,4.29716699909477,4.2745420014398405,4.298728999856394,20000000,104611840,474683.121,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00425,100,969,1,,,3000,3,True,True,0.95006,2.2213544998521684,2.346635398680519,6656.7187779292,2.2214165001059882,2.2161874985613395,2.2287084993877215,16000000,105758720,230920.879,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00423,100,261,1,,,3000,3,True,True,0.80033,0.6674374999420252,0.7254190977619146,2001.5388789615827,0.6665205000899732,0.6650414998148335,0.6695834981655935,16000000,105758720,61908.513,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00509,1,56,1,0,0,3000,3,True,True,0.8,0.1534375005576294,0.171838099231536,461.4174369344255,0.15258350140356924,0.15229150267259683,0.15556250218651257,20000000,104448000,13411.089,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
