method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,start_depth,candidate_target
scan,1,,main-s00000,100,1,1,1000,1,True,True,1.0,137.88083349754743,138.23330624964,137772.3114200453,137.88083349754743,137.88083349754743,137.88083349754743,104000000,353583104,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-64-seed42,main-s00005,100,18,1,1000,1,True,True,0.95149,40.87345849984558,45.74723539826664,40763.44440007233,40.87345849984558,40.87345849984558,40.87345849984558,104000000,322732032,294921.409,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-64-seed42,main-s00006,100,38,1,1000,1,True,True,0.99071,84.66987499923562,89.64081040103338,84183.54235602601,84.66987499923562,84.66987499923562,84.66987499923562,104000000,322732032,609634.972,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-1024-seed42,main-s00015,100,137,1,1000,1,True,True,0.95037,19.28214599865896,20.482685400929768,19232.630619950214,19.28214599865896,19.28214599865896,19.28214599865896,104000000,342687744,138394.386,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-1024-seed42,main-s00016,100,405,1,1000,1,True,True,0.99012,56.204958500529756,58.00378895019094,56111.769063034444,56.204958500529756,56.204958500529756,56.204958500529756,104000000,342687744,405446.86,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-4096-seed42,main-s00025,100,382,1,1000,1,True,True,0.95,13.681604497833177,14.546898250955564,13661.74516204046,13.681604497833177,13.681604497833177,13.681604497833177,104000000,382713856,95495.352,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-4096-seed42,main-s00026,100,1299,1,1000,1,True,True,0.99007,45.06697899705614,46.538508299636305,45045.17699103235,45.06697899705614,45.06697899705614,45.06697899705614,104000000,382713856,320965.851,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
branch,1,,main-s00002,100,1,1,1000,1,True,True,1.0,500.5861250010639,524.8325931504951,484508.6831109766,500.5861250010639,500.5861250010639,500.5861250010639,200000000,457293824,1000000.0,2753.663,21568671.875,21457312.5,0.0,0.0,0.0,0,42,2048,8192,,
prefix,1,,main-s00003,100,1,1,1000,1,True,True,1.0,138.2798129998264,138.63279825072823,138160.2524730515,138.2798129998264,138.2798129998264,138.2798129998264,108000000,272531456,1000000.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0,0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-64-seed42,main-s00010,100,38,1,1000,1,True,True,0.99071,149.74402049847413,183.6124434004887,148264.129402025,149.74402049847413,149.74402049847413,149.74402049847413,200196608,378912768,609634.972,2135.778,291393.596,283652.806,0.0,0.0,0.0,0,42,2048,8192,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-64-seed42,main-s00009,100,38,1,1000,1,True,True,0.89145,44.2636460011272,63.48546934896148,46042.47779193247,44.2636460011272,44.2636460011272,44.2636460011272,200196608,378912768,102589.692,8192.0,1681791.052,468144.541,0.0,0.0,0.0,0,42,128,8192,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-64-seed42,main-s00007,100,18,1,1000,1,True,True,0.93169,51.24504149898712,64.73281040252913,50493.77439404634,51.24504149898712,51.24504149898712,51.24504149898712,200196608,378912768,132586.213,8192.0,1483842.032,725644.246,0.0,0.0,0.0,0,42,128,8192,,
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-64-seed42,main-s00011,100,18,1,1000,1,True,True,0.95149,40.99758350093907,45.81992769835779,40857.72947308942,40.99758350093907,40.99758350093907,40.99758350093907,108000000,275415040,294921.409,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0,0
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-64-seed42,main-s00014,100,38,1,1000,1,True,True,0.62121,44.13777099944127,62.894076749034866,38992.864420033584,44.13777099944127,44.13777099944127,44.13777099944127,108000000,275415040,281400.29,0.0,0.0,0.0,1.672,127.072,3.328,,,,,4,100000
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-64-seed42,main-s00013,100,38,1,1000,1,True,True,0.99071,84.78885399927094,89.98887944762828,84268.8067719755,84.78885399927094,84.78885399927094,84.78885399927094,108000000,275415040,609634.972,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0,0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-1024-seed42,main-s00020,100,405,1,1000,1,True,True,0.99012,56.50893799975165,58.18727674923139,56425.88668800454,56.50893799975165,56.50893799975165,56.50893799975165,203170304,441352192,405446.86,413.32,178.307,6645.538,0.0,0.0,0.0,0,42,2048,8192,,
