query,depth,top_k,matched_rows,balanced_rows,reference_matches,neighbor_survival
0,1,1,234334,500000.0,0,0.0
1,1,1,765666,500000.0,1,1.0
2,1,1,765666,500000.0,1,1.0
3,1,1,234334,500000.0,1,1.0
4,1,1,765666,500000.0,1,1.0
5,1,1,765666,500000.0,1,1.0
6,1,1,765666,500000.0,1,1.0
7,1,1,234334,500000.0,1,1.0
8,1,1,765666,500000.0,1,1.0
9,1,1,765666,500000.0,0,0.0
10,1,1,234334,500000.0,1,1.0
11,1,1,234334,500000.0,0,0.0
12,1,1,765666,500000.0,1,1.0
13,1,1,765666,500000.0,1,1.0
14,1,1,765666,500000.0,1,1.0
15,1,1,234334,500000.0,0,0.0
16,1,1,765666,500000.0,1,1.0
17,1,1,765666,500000.0,1,1.0
18,1,1,765666,500000.0,1,1.0
19,1,1,234334,500000.0,0,0.0
20,1,1,765666,500000.0,1,1.0
21,1,1,765666,500000.0,1,1.0
22,1,1,765666,500000.0,1,1.0
23,1,1,765666,500000.0,0,0.0
24,1,1,765666,500000.0,1,1.0
25,1,1,765666,500000.0,1,1.0
26,1,1,765666,500000.0,1,1.0
27,1,1,765666,500000.0,1,1.0
28,1,1,234334,500000.0,0,0.0
29,1,1,765666,500000.0,1,1.0
30,1,1,234334,500000.0,0,0.0
31,1,1,765666,500000.0,1,1.0
32,1,1,765666,500000.0,1,1.0
33,1,1,765666,500000.0,1,1.0
34,1,1,765666,500000.0,1,1.0
35,1,1,765666,500000.0,1,1.0
36,1,1,234334,500000.0,0,0.0
37,1,1,765666,500000.0,0,0.0
38,1,1,765666,500000.0,1,1.0
39,1,1,765666,500000.0,1,1.0
40,1,1,765666,500000.0,1,1.0
41,1,1,765666,500000.0,1,1.0
42,1,1,765666,500000.0,1,1.0
43,1,1,765666,500000.0,1,1.0
44,1,1,765666,500000.0,1,1.0
45,1,1,765666,500000.0,1,1.0
46,1,1,234334,500000.0,0,0.0
47,1,1,765666,500000.0,1,1.0
48,1,1,765666,500000.0,1,1.0
49,1,1,765666,500000.0,1,1.0
50,1,1,765666,500000.0,1,1.0
51,1,1,765666,500000.0,1,1.0
52,1,1,765666,500000.0,1,1.0
53,1,1,765666,500000.0,1,1.0
54,1,1,765666,500000.0,1,1.0
55,1,1,765666,500000.0,1,1.0
56,1,1,765666,500000.0,1,1.0
57,1,1,234334,500000.0,0,0.0
58,1,1,765666,500000.0,1,1.0
59,1,1,765666,500000.0,1,1.0
60,1,1,765666,500000.0,1,1.0
61,1,1,765666,500000.0,1,1.0
62,1,1,765666,500000.0,1,1.0
63,1,1,765666,500000.0,1,1.0
