depth,top_k,queries,mean_matched_rows,median_matched_rows,p95_matched_rows,balanced_rows,reference_matches,neighbor_survival,independence_survival,independence_error
1,1,1000,265632.815,307769.0,307769.0,261465.5,866,0.866,0.866,0.0
1,10,1000,265632.815,307769.0,307769.0,261465.5,7825,0.7825,0.7825,0.0
1,100,1000,265632.815,307769.0,307769.0,261465.5,71497,0.71497,0.71497,0.0
2,1,1000,155815.71,181469.0,246257.0,130732.75,687,0.687,0.691934,0.004933999999999994
2,10,1000,155815.71,181469.0,246257.0,130732.75,5995,0.5995,0.5991602500000001,-0.000339749999999972
2,100,1000,155815.71,181469.0,246257.0,130732.75,52434,0.52434,0.5231006508,-0.0012393492000000172
4,1,1000,72775.786,74669.0,134349.0,32683.1875,553,0.553,0.55311128158,0.00011128157999995558
4,10,1000,72775.786,74669.0,134349.0,32683.1875,4477,0.4477,0.44672585964425254,-0.0009741403557474437
4,100,1000,72775.786,74669.0,134349.0,32683.1875,36644,0.36644,0.3695313240420538,0.0030913240420538113
8,1,1000,7329.41,4505.0,20518.0,2042.69921875,327,0.327,0.3094080007656213,-0.017591999234378708
8,10,1000,7329.41,4505.0,20518.0,2042.69921875,1984,0.1984,0.1856167407332674,-0.0127832592667326
8,100,1000,7329.41,4505.0,20518.0,2042.69921875,11938,0.11938,0.11735712440905471,-0.002022875590945286
16,1,1000,251.069,101.5,1061.0,7.9792938232421875,124,0.124,0.11610706301878061,-0.007892936981219387
16,10,1000,251.069,101.5,1061.0,7.9792938232421875,557,0.0557,0.047501053220153897,-0.008198946779846103
16,100,1000,251.069,101.5,1061.0,7.9792938232421875,2135,0.02135,0.020336936862602573,-0.0010130631373974283
32,1,1000,0.138,0.0,1.0,0.0001217543613165617,15,0.015,0.011120627879999607,-0.0038793721200003923
32,10,1000,0.138,0.0,1.0,0.0001217543613165617,34,0.0034,0.001447948445176114,-0.0019520515548238858
32,100,1000,0.138,0.0,1.0,0.0001217543613165617,55,0.00055,0.0002343697580888015,-0.00031563024191119855
