method,clusters,router,setting_id,top_k,probes,repetitions,leaf_size,node_budget,exploration,seed,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00471,100,170,1,2048,8192,0,42,3000,3,True,True,0.95004,4.918625500067719,5.518424400906952,14812.66331394363,4.92443750044913,4.902771497654612,4.9306665005133254,154865432,380715008,22585.081,170.0,0.0,437.165,0.0,0.0,0.0,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00463,100,15,1,2048,8192,0,42,3000,3,True,True,0.80501,0.8116244989651022,0.9361270978843095,2447.155279045546,0.8127080000122078,0.8049170010053786,0.8164579994627275,154865432,380715008,2132.107,15.0,0.0,40.819,0.0,0.0,0.0,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00426,1,33,1,2048,512,0,42,3000,3,True,True,0.99,1.274395501241088,1.4789378481509627,3843.577809013368,1.2750004989356967,1.2689579980360577,1.27710400010983,154865432,380715008,4558.183,33.0,0.0,87.67,0.0,0.0,0.0,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00467,100,57,1,2048,8192,0,42,3000,3,True,True,0.90021,1.9375625015527476,2.2223107514946605,5830.913815891108,1.9349579997651745,1.9301459997222992,1.9458965016383445,154865432,380715008,7737.498,57.0,0.0,149.274,0.0,0.0,0.0,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00423,1,6,1,2048,8192,0,42,3000,3,True,True,0.956,0.5398539997258922,0.6162562529425486,1627.578042101959,0.539709000804578,0.5386254997574724,0.5420210000011139,154865432,380715008,890.047,6.0,0.0,16.922,0.0,0.0,0.0,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00418,1,3,1,2048,512,0,42,3000,3,True,True,0.92,0.45085449892212637,0.5060871972091263,1363.944480985083,0.45077049981046,0.4484590026549995,0.4530834994511679,154865432,380715008,461.878,3.0,0.0,8.725,0.0,0.0,0.0,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00475,100,874,1,2048,8192,0,42,3000,3,True,True,0.99,23.098228999515413,24.43504825241689,69272.12837500701,23.067000500304857,23.064625000188244,23.15908350101381,154865432,380715008,113571.472,874.0,0.0,2207.693,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00394,1,33,1,,,,,3000,3,True,True,0.99,1.2158749996160623,1.415277100750245,3669.8132838755555,1.214854501085938,1.213896000990644,1.2193750008009374,71118616,293519360,4558.183,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00406,100,874,1,,,,,3000,3,True,True,0.99,22.86314600132755,24.17616634957085,68547.74786691632,22.8891869992367,22.747708500901354,22.91672949831991,71118616,293519360,113571.472,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00405,100,170,1,,,,,3000,3,True,True,0.95004,4.861207999056205,5.426615199939987,14603.91628200523,4.8547085007157875,4.845937499339925,4.873374999078806,71118616,293519360,22585.081,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00403,100,15,1,,,,,3000,3,True,True,0.80501,0.7622709981660591,0.888419048533251,2302.6846710527025,0.7622499997523846,0.7619374991918448,0.7624375011801021,71118616,293519360,2132.107,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00404,100,57,1,,,,,3000,3,True,True,0.90021,1.8827084986696718,2.1711048009819933,5679.170193121536,1.8839374988601776,1.880124998933752,1.8851875011023367,71118616,293519360,7737.498,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00392,1,3,1,,,,,3000,3,True,True,0.92,0.4037289982079528,0.4563351003525895,1221.2042250284867,0.4030625023005996,0.4019369989691768,0.40572900070401374,71118616,293519360,461.878,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00393,1,6,1,,,,,3000,3,True,True,0.956,0.4922499992972007,0.5680872000084491,1485.5223730373837,0.49522900008014403,0.48564600001554936,0.49631299953034613,71118616,293519360,890.047,0.0,0.0,0.0,0.0,0.0,0.0,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00558,100,170,1,,,,,3000,3,True,True,0.95004,4.994500000975677,5.54807465050544,15012.362617962935,4.993499998818152,4.991374498786172,4.996916499294457,73210340,247119872,22585.081,0.0,0.0,0.0,17.0,5440.0,0.0,16,261465
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00492,1,3,1,,,,,3000,3,True,True,0.92,0.4103754999960074,0.4636785513866925,1241.258858008223,0.41139550012303516,0.4078545007359935,0.4123124999750871,73210340,247119872,461.878,0.0,0.0,0.0,17.0,96.0,0.0,16,100000
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00564,100,874,1,,,,,3000,3,True,True,0.99,23.655333499846165,25.002302400753248,71010.08326301599,23.65300000019488,23.636645499209408,23.677146000409266,73210340,247119872,113571.472,0.0,0.0,0.0,17.0,27968.0,0.0,16,0
