method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,leaf_size,node_budget,exploration,seed
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00039,10,7,1,1000,1,True,True,0.9504,2.2253754998473596,3.1008648996930788,2292.2993250022046,2.2253754998473596,2.2253754998473596,2.2253754998473596,20917240,103940096,59754.595,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00047,100,64,1,1000,1,True,True,1.0,20.329270500042185,21.096587800138877,20289.62549699827,20.329270500042185,20.329270500042185,20.329270500042185,20917240,103940096,522931.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00036,10,1,1,1000,1,True,True,0.6262,0.33229149994440377,0.586541999837209,359.36037000328724,0.33229149994440377,0.33229149994440377,0.33229149994440377,20917240,103940096,9223.342,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00040,10,21,1,1000,1,True,True,0.9903,6.615500499947302,7.601191999856383,6628.146523000396,6.615500499947302,6.615500499947302,6.615500499947302,20917240,103940096,174062.415,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00031,1,2,1,1000,1,True,True,0.888,0.6646669999099686,1.0298148998344914,677.9343479929594,0.6646669999099686,0.6646669999099686,0.6646669999099686,20917240,103940096,17936.524,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00034,1,9,1,1000,1,True,True,0.99,2.8052919999481674,3.7463434498476995,2890.3233560054105,2.8052919999481674,2.8052919999481674,2.8052919999481674,20917240,103940096,76223.684,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00038,10,5,1,1000,1,True,True,0.9194,1.575042000013127,2.296246499759036,1640.9252160078722,1.575042000013127,1.575042000013127,1.575042000013127,20917240,103940096,43132.396,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00041,10,64,1,1000,1,True,True,1.0,19.558771000220077,21.058242299841368,20005.324686994754,19.558771000220077,19.558771000220077,19.558771000220077,20917240,103940096,522931.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00037,10,3,1,1000,1,True,True,0.8581,0.9815834998789796,1.4826089997768575,1020.7059820013455,0.9815834998789796,0.9815834998789796,0.9815834998789796,20917240,103940096,26422.354,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00044,100,8,1,1000,1,True,True,0.91219,2.644582999892009,3.5732493500063356,2719.806459010215,2.644582999892009,2.644582999892009,2.644582999892009,20917240,103940096,67988.47,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00035,1,64,1,1000,1,True,True,1.0,19.552458500129433,21.065668750065925,19968.824147003488,19.552458500129433,19.552458500129433,19.552458500129433,20917240,103940096,522931.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00043,100,4,1,1000,1,True,True,0.82498,1.3834999999744468,2.0119149002994163,1423.1368489990928,1.3834999999744468,1.3834999999744468,1.3834999999744468,20917240,103940096,34810.582,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00042,100,1,1,1000,1,True,True,0.5345,0.3838130000985984,0.6626479001397456,412.9087040041668,0.3838130000985984,0.3838130000985984,0.3838130000985984,20917240,103940096,9223.342,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00030,1,1,1,1000,1,True,True,0.746,0.32524999960514833,0.5813791999116802,354.136829993422,0.32524999960514833,0.32524999960514833,0.32524999960514833,20917240,103940096,9223.342,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00046,100,31,1,1000,1,True,True,0.99023,10.108103999982632,11.188147600000775,10153.749915002209,10.108103999982632,10.108103999982632,10.108103999982632,20917240,103940096,255171.207,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00045,100,13,1,1000,1,True,True,0.95189,4.263979500365167,5.252879150134504,4342.634193996673,4.263979500365167,4.263979500365167,4.263979500365167,20917240,103940096,108789.511,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00033,1,4,1,1000,1,True,True,0.958,1.2720414999876084,1.8990916998745888,1317.8849560017625,1.2720414999876084,1.2720414999876084,1.2720414999876084,20917240,103940096,34810.582,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,main-s00032,1,3,1,1000,1,True,True,0.923,0.960041499865838,1.4507707999655393,1001.9522789984876,0.960041499865838,0.960041499865838,0.960041499865838,20917240,103940096,26422.354,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00525,10,54,1,1000,1,True,True,0.5297,0.19364550007594517,0.3226312500828499,214.75774799364444,0.19364550007594517,0.19364550007594517,0.19364550007594517,23008964,111493120,2014.205,0.0,0.0,0.0,12.653,1366.416,4.347,16,1000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00563,100,668,1,1000,1,True,True,0.99003,4.3751869998232,4.716616999667167,4384.493516004113,4.3751869998232,4.3751869998232,4.3751869998232,23008964,111493120,86503.784,0.0,0.0,0.0,17.0,21376.0,0.0,16,261465,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00498,1,5,1,1000,1,True,True,0.95,0.11470899994492356,0.12792529964826826,115.05594999289315,0.11470899994492356,0.11470899994492356,0.11470899994492356,23008964,111493120,723.5,0.0,0.0,0.0,17.0,160.0,0.0,16,261465,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00484,1,1,1,1000,1,True,True,0.728,0.08556299985684745,0.09279615003379149,86.18936800030497,0.08556299985684745,0.08556299985684745,0.08556299985684745,23008964,111493120,155.864,0.0,0.0,0.0,17.0,32.0,0.0,16,0,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00544,100,3,1,1000,1,True,True,0.55271,0.11664550015666464,0.13058299966814957,117.36776199768428,0.11664550015666464,0.11664550015666464,0.11664550015666464,23008964,111493120,442.421,0.0,0.0,0.0,17.0,96.0,0.0,16,0,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00539,10,4096,1,1000,1,True,True,1.0,25.91193750004095,26.609166649882354,25926.7646169842,25.91193750004095,25.91193750004095,25.91193750004095,23008964,111493120,522931.0,0.0,0.0,0.0,17.0,131072.0,0.0,16,0,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00487,1,2,1,1000,1,True,True,0.861,0.09368750033900142,0.1026291501830201,94.42549900040831,0.09368750033900142,0.09368750033900142,0.09368750033900142,23008964,111493120,300.875,0.0,0.0,0.0,17.0,64.0,0.0,16,100000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00491,1,3,1,1000,1,True,True,0.915,0.10041700033980305,0.1106292001395559,100.97102100462507,0.10041700033980305,0.10041700033980305,0.10041700033980305,23008964,111493120,442.421,0.0,0.0,0.0,17.0,96.0,0.0,16,10000,,,,
