method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact,exploration,seed,leaf_size,node_budget,prefer_deeper_ties
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00450,1,35,1,3000,3,True,True,0.901,0.04979199911758769,0.055252048696274855,150.5356689049222,0.049957998271565884,0.049250000301981345,0.05020800017518923,8366896,77905920,4732.377,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00451,1,67,1,3000,3,True,True,0.95,0.0805000017862767,0.08845800039125606,242.82997202681145,0.08070799958659336,0.07974999971338548,0.0809580014902167,8366896,77905920,9044.784,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00455,100,8,1,3000,3,True,True,0.51131,0.04087499837623909,0.04650210103136486,123.47254095584503,0.04110450026928447,0.04025000089313835,0.0412914996559266,8366896,77905920,1077.212,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-1024-seed42,qwen-quora-d32-binary-main-s00409,1,78,1,3000,3,True,True,0.99,0.16875049914233387,0.2623392500026966,521.8504579279397,0.16858350136317313,0.16781300109869335,0.16993749886751175,10458620,77529088,26153.499,0.0,0.0,0.0,3.511,494.988,1.489,4,0,True,,,,,
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,qwen-quora-d32-binary-main-s00242,1,7,1,3000,3,True,True,0.819,0.029499999072868377,0.04404825067467751,92.9755559664045,0.029417000405373983,0.02933349969680421,0.029667000490007922,10490416,84295680,677.045,84.29,2558.716,308.303,0.0,0.0,0.0,,,,0,42,128,8192,True
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,qwen-quora-d32-binary-main-s00245,1,12,1,3000,3,True,True,0.906,0.04316649938118644,0.05996104846417437,135.51650704539497,0.04314550096751191,0.04258350054442417,0.043770998672698624,10490416,84410368,1058.999,132.935,4025.511,482.932,0.0,0.0,0.0,,,,0,42,128,8192,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00547,100,147,1,3000,3,True,True,0.95032,0.18995799837284721,0.20904520151816539,572.4884540613857,0.19035449986404274,0.18914549946202897,0.1903749998746207,10458620,77103104,19772.328,0.0,0.0,0.0,1.0,0.0,0.0,0,0,False,,,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,qwen-quora-d32-binary-main-s00024,1,5,1,3000,3,True,True,0.953,0.05195849917072337,0.09538334870740069,172.7661339828046,0.05212499854678754,0.05149999924469739,0.052312499974505045,10460464,72122368,517.706,72.341,33698.108,3569.619,0.0,0.0,0.0,,,,0,42,128,8192,True
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-1024-seed42,qwen-quora-d32-binary-main-s00336,1,3,1,3000,3,True,True,0.557,0.015792000340297818,0.018124999769497663,48.0062478382024,0.015790999896125868,0.015749999874969944,0.015875000826781616,8366896,80658432,1583.906,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00491,100,82,1,3000,3,True,True,0.90087,0.12654149941226933,0.1411249979355489,382.36548099303036,0.12649999916902743,0.12643800073419698,0.1268124979105778,10965040,80478208,11059.047,82.0,0.0,212.417,0.0,0.0,0.0,,,,0,42,2048,8192,False
