top_k,node_budget,probability,router,probes,leaf_size,seeds_found,missing_seeds,unqualified_seeds,plotted,recall_percent_mean,recall_percent_min,recall_percent_max,query_ms_median,query_ms_min,query_ms_max
1,128,0,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,16,32,"[7, 23, 42]",[],[],True,87.3,87.3,87.3,0.045979499191162176,0.04587500006891787,0.04724999962490983
1,128,0.1,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,16,32,"[7, 23, 42]",[],[],True,83.33333333333333,82.39999999999999,84.8,0.047917001211317256,0.047790999815333635,0.04797949986823369
1,128,0.2,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,16,32,"[7, 23, 42]",[],[],True,70.9,65.3,80.2,0.04895799793303013,0.04875000013271347,0.049458001740276814
1,8192,0,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,16,32,"[7, 23, 42]",[],[],True,95.3,95.3,95.3,0.07660449955437798,0.07579199882457033,0.07720900066487957
1,8192,0.1,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,16,32,"[7, 23, 42]",[],[],True,95.3,95.3,95.3,0.08572949809604324,0.08458350021101069,0.08660400089866016
1,8192,0.2,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,16,32,"[7, 23, 42]",[],[],True,95.3,95.3,95.3,0.0958540022111265,0.09529199815005995,0.09872899863694329
100,128,0,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,23,128,"[7, 23, 42]",[],[],True,65.16300000000001,65.16300000000001,65.16300000000001,0.07489550080208573,0.07447899952239823,0.07529200229328126
100,128,0.1,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,23,128,"[7, 23, 42]",[],[],True,61.47366666666667,58.791000000000004,62.99,0.0767090023146011,0.07650000043213367,0.07747949894110207
100,128,0.2,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,23,128,"[7, 23, 42]",[],[],True,51.60766666666667,46.641,56.961,0.08108300062303897,0.07895799899415579,0.08554200030630454
100,8192,0,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,23,128,"[7, 23, 42]",[],[],True,95.488,95.488,95.488,0.4131460009375587,0.4105205007363111,0.4137504984100815
100,8192,0.1,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,23,128,"[7, 23, 42]",[],[],True,95.488,95.488,95.488,0.44616699960897677,0.437541499195504,0.45145900003262796
100,8192,0.2,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,23,128,"[7, 23, 42]",[],[],True,95.488,95.488,95.488,0.48879150199354626,0.4881040003965609,0.4901869997411268
