method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target
scan,1,,main-s00000,1,1,1,1000,1,True,True,1.0,2.4842709990480216,2.5692291510495124,2493.4224739772617,2.4842709990480216,2.4842709990480216,2.4842709990480216,8366896,71467008,522931.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00042,100,38,1,1000,1,True,True,0.99016,1.5251665008690907,1.6052035522079677,1524.173068915843,1.5251665008690907,1.5251665008690907,1.5251665008690907,8366896,74825728,311976.533,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00041,100,23,1,1000,1,True,True,0.95488,0.9513539989711717,1.0257350993924774,948.7402509294043,0.9513539989711717,0.9513539989711717,0.9513539989711717,8366896,74825728,190586.597,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00034,1,9,1,1000,1,True,True,0.907,0.3615005007304717,0.43151040063094115,362.972773018555,0.3615005007304717,0.3615005007304717,0.3615005007304717,8366896,74825728,75866.901,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00235,100,510,1,1000,1,True,True,0.99504,1.3514579986804165,1.427677750325529,1359.4565280109236,1.3514579986804165,1.3514579986804165,1.3514579986804165,8366896,78839808,260571.38,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00233,100,213,1,1000,1,True,True,0.9504,0.6044170004315674,0.6507583502752823,604.6905010152841,0.6044170004315674,0.6044170004315674,0.6044170004315674,8366896,78839808,109362.477,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00224,1,4,1,1000,1,True,True,0.537,0.018750000890577212,0.022502100182464343,18.936938027763972,0.018750000890577212,0.018750000890577212,0.018750000890577212,8366896,78839808,2160.308,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00420,1,860,1,1000,1,True,True,0.99,0.7524579996243119,0.8021437497518491,753.4753699692374,0.7524579996243119,0.7524579996243119,0.7524579996243119,8366896,76283904,110485.681,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00427,100,1724,1,1000,1,True,True,0.99501,1.4502920002996689,1.521633299489622,1451.752111031965,1.4502920002996689,1.4502920002996689,1.4502920002996689,8366896,76283904,220478.628,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00417,1,65,1,1000,1,True,True,0.801,0.07731250116194133,0.08612915098638041,77.73343296139501,0.07731250116194133,0.07731250116194133,0.07731250116194133,8366896,76283904,8569.049,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,1,,main-s00001,100,1,1,1000,1,True,True,1.0,2.541500001825625,2.60730689697084,2552.4568620094215,2.541500001825625,2.541500001825625,2.541500001825625,8366896,71319552,522931.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00037,1,38,1,1000,1,True,True,0.995,1.4842920008959481,1.5677875015171594,1486.1612051063275,1.4842920008959481,1.4842920008959481,1.4842920008959481,8366896,75186176,311976.533,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00036,1,33,1,1000,1,True,True,0.99,1.2891254991700407,1.3673444000232848,1290.6205850376864,1.2891254991700407,1.2891254991700407,1.2891254991700407,8366896,75186176,271703.165,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00043,100,44,1,1000,1,True,True,0.9952,1.754145998347667,1.8354901993006933,1756.2510589777958,1.754145998347667,1.754145998347667,1.754145998347667,8366896,75186176,360575.633,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
