method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,exploration,seed,leaf_size,node_budget,prefer_deeper_ties
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00233,100,213,1,3000,3,True,True,0.9504,0.6015620001562638,0.6505482022475917,1806.5983159613097,0.6029374999343418,0.5974374998913845,0.6038960000296356,8366896,78905344,109362.477,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00224,1,4,1,3000,3,True,True,0.537,0.018291999367647804,0.02195900015067309,55.585239999345504,0.018250000721309334,0.018145499780075625,0.01847950079536531,8366896,78905344,2160.308,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00380,100,133,1,3000,3,True,True,0.90029,0.3932090003218036,0.4278329979570117,1179.7608670858608,0.393062999137328,0.3922079995390959,0.39475050107284915,10458620,76644352,68494.75,0.0,0.0,0.0,1.0,0.0,0.0,0,0,,,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00052,1,5,1,3000,3,True,True,0.822,0.032291998650180176,0.05760179810749822,105.6845629500458,0.032187999750021845,0.03202049992978573,0.032500000088475645,10465840,77398016,156.613,86.493,10580.347,1107.944,0.0,0.0,0.0,,,0,42,32,8192,False
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00371,100,68,1,3000,3,True,True,0.80102,0.21931250012130477,0.2435000023979228,658.0821520692552,0.21966650274407584,0.21724950056523085,0.22031249864085112,10458620,77152256,35192.908,0.0,0.0,0.0,1.0,0.0,0.0,0,0,,,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00057,1,9,1,3000,3,True,True,0.907,0.04908300252282061,0.08412565020989837,159.15802007293678,0.04908400296699256,0.04870849988947157,0.04947949855704792,10465840,77643776,247.895,141.876,17247.221,1754.351,0.0,0.0,0.0,,,0,42,32,512,True
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00316,1,4,1,3000,3,True,True,0.514,0.017207999917445704,0.02183299875468947,52.86778005029191,0.017207999917445704,0.017042000763467513,0.01741649793984834,10458620,76759040,1498.5,0.0,0.0,0.0,3.226,23.888,1.774,4,1000,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00226,1,65,1,3000,3,True,True,0.902,0.18187499881605618,0.20117324693273983,543.2372891082196,0.18087499847752042,0.1802494989533443,0.18437499966239557,8366896,78921728,33675.652,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00231,100,68,1,3000,3,True,True,0.80102,0.2213750012742821,0.2447562508677947,663.1157339616038,0.22191649986780249,0.2192920001107268,0.2227080003649462,8366896,78921728,35192.908,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00277,100,12,1,3000,3,True,True,0.50469,0.07208350143628195,0.0837500010675285,217.43963510380127,0.07200000072771218,0.07183299749158323,0.07262500002980232,10587184,81313792,6357.221,12.0,0.0,105.292,0.0,0.0,0.0,,,0,42,2048,8192,False
