query,full_float_best_row,full_float_best_score,binary_top1_row,binary_top1_full_score,top1_full_score_gap,top1_agrees,candidate_count,candidate_best_row,candidate_best_full_score,candidate_best_full_score_gap,candidates_agree,pool,binary_dimensions,query_id
0,795454,0.7967658042907715,550055,0.5226830244064331,0.2740827798843384,False,100,121460,0.5765476822853088,0.22021812200546265,False,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64,64,990375
1,134436,0.7994076013565063,366990,0.5669831037521362,0.23242449760437012,False,100,462338,0.7690262794494629,0.030381321907043457,False,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64,64,127682
2,388092,0.8388969302177429,718396,0.4420635998249054,0.3968333303928375,False,100,388092,0.8388969898223877,-5.960464477539063e-08,True,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64,64,1059253
3,893625,0.9017114043235779,11693,0.8969970941543579,0.004714310169219971,False,100,893625,0.9017114639282227,-5.960464477539063e-08,True,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64,64,144491
4,528637,0.7764394879341125,340028,0.5747805833816528,0.20165890455245972,False,100,421758,0.6729291677474976,0.10351032018661499,False,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64,64,601684
5,553106,0.7313552498817444,511166,0.579002857208252,0.15235239267349243,False,100,553106,0.7313551902770996,5.960464477539063e-08,True,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64,64,696918
6,913696,0.6913633346557617,733444,0.6804109215736389,0.010952413082122803,False,100,235517,0.6846888065338135,0.006674528121948242,False,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64,64,1094220
7,938708,0.7478996515274048,222529,0.5236446857452393,0.22425496578216553,False,100,405045,0.7257455587387085,0.02215409278869629,False,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64,64,1033580
8,249402,0.6961480975151062,835747,0.6484261155128479,0.0477219820022583,False,100,49887,0.6537963151931763,0.04235178232192993,False,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64,64,1002596
9,740024,0.8352001309394836,303463,0.6445847749710083,0.19061535596847534,False,100,843293,0.7004588842391968,0.13474124670028687,False,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64,64,1099340
10,77839,0.825136125087738,927380,0.7580677270889282,0.06706839799880981,False,100,927380,0.7580677270889282,0.06706839799880981,False,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64,64,1100035
11,736661,0.701326847076416,685911,0.5215712189674377,0.17975562810897827,False,100,355638,0.6145851612091064,0.08674168586730957,False,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64,64,559009
12,472418,0.7457189559936523,655860,0.6856095790863037,0.06010937690734863,False,100,506942,0.7109968066215515,0.03472214937210083,False,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64,64,1061237
