query,full_float_best_row,full_float_best_score,query_id
0,136679,0.7983842492103577,140990
1,278749,0.7896336317062378,287243
2,50818,0.8740474581718445,52412
3,166710,0.7181605696678162,520305
4,169702,0.8762189745903015,450505
5,232714,0.7859691381454468,205385
6,232122,0.8923898339271545,239258
7,481083,0.9383594393730164,495095
8,153425,0.8897057175636292,338743
9,136833,0.8408048748970032,97038
10,64697,0.8474085927009583,94726
11,253781,0.8630877733230591,423796
12,351838,0.7895606756210327,94135
13,336543,0.8789743781089783,280288
14,503348,0.7500308752059937,100540
15,217777,0.8558807969093323,120300
16,204224,0.8524188995361328,114889
17,420220,0.8647611737251282,432562
18,369587,0.876253604888916,380664
19,223122,0.8999674320220947,230029
20,37350,0.8983511328697205,445923
21,67876,0.7371826171875,13179
22,130996,0.815646767616272,840
23,104578,0.8245334029197693,303881
24,513631,0.8418980836868286,528408
25,371922,0.9184455871582031,383047
26,21912,0.8624920845031738,22586
27,11817,0.7472710609436035,12186
28,187579,0.9193276166915894,193420
29,396883,0.8366376757621765,408640
30,143013,0.8303914070129395,147524
31,496554,0.7721213102340698,366262
32,448265,0.8228027820587158,461403
33,83988,0.8446795344352722,58186
34,450872,0.8608829975128174,464083
35,357876,0.845758318901062,368605
36,326940,0.6803619861602783,419672
37,28276,0.8213143944740295,152156
38,320336,0.8756084442138672,513258
39,248002,0.9240469932556152,255614
40,335628,0.8500553965568542,345770
41,94303,0.8533207178115845,228852
42,118190,0.8628162145614624,375705
43,242609,0.8624182939529419,391586
44,5291,0.8998650908470154,5459
45,92875,0.7961678504943848,95829
46,362202,0.8916151523590088,277155
47,420636,0.717522919178009,347451
48,351791,0.8123608827590942,362366
49,118990,0.8230763673782349,122755
50,286561,0.8515384197235107,295295
51,55998,0.8423217535018921,57762
52,496569,0.7701791524887085,510957
53,31676,0.8519746661186218,32682
54,461388,0.9194438457489014,274207
55,245584,0.8103263974189758,253138
56,240298,0.7783110737800598,247701
57,443667,0.798744797706604,456684
58,51828,0.7713596820831299,378382
59,278063,0.8348922729492188,524374
60,28652,0.7234991788864136,303204
61,34036,0.7836954593658447,16028
62,241145,0.7097620368003845,25415
63,322418,0.775091290473938,332206
64,422018,0.807344377040863,434414
65,62188,0.8598551750183105,64144
66,109584,0.7991738319396973,165759
67,436899,0.8529677391052246,449729
68,296018,0.8045287728309631,416645
69,223180,0.7306833267211914,230089
70,120847,0.7210464477539062,124666
71,285294,0.694114089012146,293994
