target,case_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,key_offset,candidate_target,key_limit,recall,routing_recall,p50_ms,p95_ms,mean_routing_ms,mean_scored,logical_bytes,routing_bytes,rss_before_queries,lifetime_peak_bytes,budget_status,power_unchanged,predicted_p50_ms,prediction_error_percent
0.8,328,10000,scan,ivf,256,49,0,0,0,0,0,0,0.8017,0.8017,0.0763328280299902,0.08775594178587198,0.008933814242482185,2035.64,400000,264192,49496064,49725440,fits_by_lifetime_peak,True,0.07806130848870242,2.264399870044276
0.8,322,10000,branch,ivf,256,49,1024,1024,0,0,0,0,0.8017,0.8017,0.08887494914233685,0.10104798711836338,0.009467992931604385,2035.64,969344,264192,50397184,50593792,fits_by_lifetime_peak,True,0.09157774637607805,3.0411238035282118
0.8,324,10000,keys,ivf,256,49,0,0,4,0,50000,524288,0.8017,0.8017,0.08916645310819149,0.10035659652203321,0.008843406103551388,2035.64,423380,264192,49446912,49643520,fits_by_lifetime_peak,True,0.11239000127129753,26.045163123094504
0.9,260,10000,scan,ivf,256,85,0,0,0,0,0,0,0.9007,0.9007,0.12352014891803265,0.18643592484295365,0.011760438792407513,3506.7,400000,264192,49807360,50020352,fits_by_lifetime_peak,True,0.11897230277991998,-3.6818658153744632
0.9,192,10000,branch,ivf,256,85,0,1024,0,0,0,0,0.9007,0.9007,0.13445783406496048,0.14774969313293695,0.010925056412816048,3506.7,969344,264192,50151424,50298880,fits_by_lifetime_peak,True,0.14516725121812601,7.964888939079229
0.9,402,10000,keys,ivf,64,26,0,0,4,0,0,0,0.9016,0.9016,0.136104179546237,0.14948525931686163,0.004134578630328178,4157.47,407800,66048,49332224,49577984,fits_by_lifetime_peak,True,0.15052873664659402,10.598173508299036
0.95,58,10000,scan,ivf,256,119,0,0,0,0,0,0,0.9501,0.9501,0.1600421965122223,0.1781329046934843,0.012065875343978405,4904.15,400000,264192,49971200,50135040,fits_by_lifetime_peak,True,0.15486213557769762,-3.2366844791017813
0.95,343,10000,branch,ivf,256,119,2048,512,0,0,0,0,0.9501,0.9501,0.16654166392982006,0.18269182182848454,0.011927075684070587,4904.15,969344,264192,50200576,50429952,fits_by_lifetime_peak,True,0.19334235261802984,16.092482839311305
0.95,24,10000,keys,ivf,64,36,0,0,4,0,0,0,0.9542,0.9542,0.17906306311488152,0.20050141029059887,0.00484551303088665,5750.06,407800,66048,49250304,49463296,fits_by_lifetime_peak,True,0.20014474822775077,11.773329879509475
0.99,77,10000,scan,ivf,256,186,0,0,0,0,0,0,0.9902,0.9902,0.2288329415023327,0.2391960471868515,0.012880489230155945,7551.82,400000,264192,49479680,49643520,fits_by_lifetime_peak,True,0.223118332272282,-2.497284347495232
0.99,514,10000,branch,ivf,256,186,0,1024,0,0,0,0,0.9902,0.9902,0.23850053548812866,0.25807442143559456,0.012564207427203655,7551.82,969344,264192,50184192,50397184,fits_by_lifetime_peak,True,0.286416030605503,20.0903092394773
0.99,101,10000,keys,ivf,64,51,0,0,4,0,0,0,0.9903,0.9903,0.2446454018354416,0.25941915810108185,0.004888307303190231,8120.7,407800,66048,49283072,49528832,fits_by_lifetime_peak,True,0.27384252549694055,11.934466555450784
0.8,506,100000,scan,ivf,1024,61,0,0,0,0,0,0,0.8025,0.8025,0.1938540954142809,0.2089663641527295,0.021509644575417042,6038.03,4000000,1056768,58376192,62177280,fits_by_lifetime_peak,True,0.19425305281671995,0.20580292698302305
0.8,277,100000,branch,ivf,1024,61,2048,512,0,0,0,0,0.8025,0.8025,0.2098744735121727,0.22302132565528154,0.022026333026587963,6038.03,8245504,1056768,62865408,66633728,fits_by_lifetime_peak,True,0.23886164991606867,13.811673196271169
0.8,182,100000,keys,ivf,1024,61,0,0,4,0,50000,524288,0.8025,0.8025,0.22535468451678753,0.24370807223021984,0.022902158088982105,6038.03,4107240,1056768,55869440,59654144,fits_by_lifetime_peak,True,0.24188838496462148,7.33674584279711
