case_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,key_offset,candidate_target,key_limit,recall,routing_recall,p50_ms,p95_ms,mean_routing_ms,mean_scored,logical_bytes,routing_bytes,rss_before_queries,lifetime_peak_bytes,budget_status,power_unchanged,predicted_p50_ms,prediction_error_percent
0,100000,keys,sign,16,4,0,0,12,4,50000,524288,0.8696,0.9138,1.4630206860601902,1.5957452589645982,0.003883717581629753,48166.68,4215420,192,52969472,56770560,fits_by_lifetime_peak,True,1.5808524486600986,8.054005231957518
1,1000000,keys,sign,1024,137,0,0,4,10,0,524288,0.9008,0.9008,13.542270753532648,19.699864322319627,0.019997134804725647,504196.03,40136180,24576,93356032,133136384,fits_by_lifetime_peak,True,13.585492104192271,0.31915881351247677
2,1000000,keys,sign,8192,505,0,0,4,13,0,0,0.9002,0.9002,12.81658373773098,18.710975581780076,0.07857047952711582,421999.36,40668540,220080,97435648,137199616,fits_by_lifetime_peak,True,12.295306196566129,-4.067211293055051
3,1000000,keys,sign,64,7,0,0,4,6,0,0,0.8083,0.8083,14.590395614504814,19.54672303982079,0.009324206039309502,462443.87,40010240,1024,90374144,130220032,fits_by_lifetime_peak,True,13.931150975243899,-4.518346566322973
4,10000,scan,ivf,1024,568,0,0,0,0,0,0,0.99,0.99,0.25664595887064934,0.26735460851341486,0.04585880320519209,6464.2,400000,1056768,50839552,50970624,fits_by_lifetime_peak,True,0.22792451416044968,-11.191076156658053
5,10000,branch,sign,4096,532,0,1024,0,0,0,0,0.9,0.9,0.2777082845568657,0.315401959232986,0.0364033505320549,6397.8,2904704,66752,52314112,52559872,fits_by_lifetime_peak,True,0.3044809454254049,9.640569747949668
6,10000,keys,sign,256,61,0,0,4,8,0,524288,0.9042,0.9042,0.2441038377583027,0.2951802918687463,0.006542070768773556,7364.48,423840,5080,49201152,49381376,fits_by_lifetime_peak,True,0.2678271526103037,9.718534157373826
7,100000,keys,sign,16,4,0,0,4,4,0,0,0.9138,0.9138,2.2360829170793295,2.501722308807075,0.004022088833153248,78935.38,4002560,192,52297728,56082432,fits_by_lifetime_peak,True,2.416787617080818,8.081305868456635
8,100000,keys,none,1,1,0,0,4,0,0,0,1.0,1.0,2.786124823614955,2.8430118458345532,0.00042584724724292755,100000.0,4000160,0,53297152,56754176,fits_by_lifetime_peak,True,2.708192283639575,-2.797166132501694
9,1000000,keys,sign,256,55,0,0,4,8,0,524288,0.952,0.952,19.321083091199398,22.92522075586021,0.013810042291879654,691052.72,40040720,5120,91619328,131432448,fits_by_lifetime_peak,True,19.705469354415023,1.9894654010918833
10,100000,branch,sign,512,198,0,1024,0,0,0,0,0.9902,0.9902,2.5492289569228888,2.7651306008920074,0.011523314751684666,91824.92,7485696,11264,57360384,61046784,fits_by_lifetime_peak,True,3.206272296720578,25.77419882248593
11,100000,scan,sign,256,49,0,0,0,0,0,0,0.9018,0.9018,1.74572947435081,2.177279000170529,0.006784247234463692,64054.95,4000000,5120,53559296,57393152,fits_by_lifetime_peak,True,1.7789771707825262,1.9045159585267424
12,10000,keys,ivf,64,16,0,0,4,0,0,524288,0.8062,0.8062,0.09068753570318222,0.10295792017132042,0.003754226490855217,2571.08,407800,66048,49299456,49512448,fits_by_lifetime_peak,True,0.10065975507507266,10.996240326266271
13,100000,keys,sign,256,32,0,0,4,8,0,0,0.804,0.804,1.3652704656124115,1.9610126968473196,0.005908734165132046,49114.11,4036860,5120,52527104,56328192,fits_by_lifetime_peak,True,1.4080884174946968,3.1362248697790918
