case_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,key_offset,candidate_target,key_limit,recall,routing_recall,p50_ms,p95_ms,mean_routing_ms,mean_scored,logical_bytes,routing_bytes,rss_before_queries,lifetime_peak_bytes,budget_status,power_unchanged,predicted_p50_ms,prediction_error_percent
0,100000,keys,sign,2048,448,0,0,4,11,50000,524288,0.8795000000000001,0.9502000000000002,1.6242081765085459,1.940112211741507,0.03095337189733982,53697.07,4150360,51272,53526528,57245696,fits_by_lifetime_peak,True,1.627544966361903,0.2054410205303947
1,100000,branch,ivf,512,256,2048,1024,0,0,0,0,0.9876999999999999,0.9876999999999999,1.3542291708290577,1.3948546256870031,0.023188432678580284,50196.25,7704832,528384,61947904,65634304,fits_by_lifetime_peak,True,1.7199489217537993,27.00575048910285
2,100000,keys,sign,512,64,0,0,12,9,0,524288,0.8233000000000001,0.8233000000000001,4.140520468354225,5.062577803619206,0.009836284443736076,48710.72,4772640,11264,55558144,59342848,fits_by_lifetime_peak,True,11.590271058122608,179.92304703494227
3,100000,keys,ivf,4096,1536,0,0,12,0,10000,524288,0.6346,0.9864,3.096333472058177,6.294393562711775,0.16874469351023436,9537.44,5490500,4227072,67469312,71090176,fits_by_lifetime_peak,True,8.921302847324778,188.1247426296968
4,100000,branch,sign,2048,320,1024,512,0,0,0,0,0.9056000000000001,0.9057,1.809250097721815,2.3868084186688066,0.029790857806801796,56223.62,8550656,51272,58867712,62521344,fits_by_lifetime_peak,True,2.087164948783689,15.360775793894987
5,100000,branch,ivf,512,448,1024,128,0,0,0,0,0.10949999999999999,0.9992,0.39060390554368496,0.5981601541861892,0.026790411211550236,8397.27,7704832,528384,61865984,65568768,fits_by_lifetime_peak,True,0.34620033527141963,-11.367927878360462
6,100000,branch,sign,4096,4096,1024,512,0,0,0,0,0.6790999999999999,1.0,1.5767705626785755,1.847272552549839,0.0813142117112875,51556.39,9931008,103208,60768256,64045056,fits_by_lifetime_peak,True,1.910324377291,21.154239082558224
7,100000,branch,sign,4096,4096,256,128,0,0,0,0,0.26139999999999997,1.0,0.41281175799667835,0.46577793546020985,0.08140707854181528,6971.6,9931008,103208,60669952,63995904,fits_by_lifetime_peak,True,0.34723984876748604,-15.884215495073162
8,100000,scan,sign,2048,192,0,0,0,0,0,0,0.8123,0.8123,1.060666749253869,1.6702373046427963,0.02110669855028391,39776.01,4000000,51272,54050816,57835520,fits_by_lifetime_peak,True,1.071976450056913,1.0662822051318077
9,100000,branch,sign,4096,448,512,128,0,0,0,0,0.31189999999999996,0.8735,0.461687333881855,0.5281019024550915,0.04469422157853842,11868.3,9931008,103208,60702720,64372736,fits_by_lifetime_peak,True,0.4917097913633862,6.502768275902904
10,100000,branch,ivf,512,224,256,512,0,0,0,0,0.9813,0.9813,1.1723539792001247,1.2818142771720886,0.02246968448162079,44020.85,7704832,528384,62275584,65978368,fits_by_lifetime_peak,True,1.5122121103782065,28.989378396613663
11,100000,keys,ivf,512,80,0,0,12,0,0,524288,0.8972,0.8972,3.5183746367692947,3.6597275640815496,0.018743830733001232,15813.17,4991860,528384,57638912,61390848,fits_by_lifetime_peak,True,13.239664084792704,276.3005777278416
12,100000,keys,ivf,2048,512,0,0,12,0,0,524288,0.9297999999999998,0.9585999999999999,6.113999988883734,6.369766080752014,0.08142251055687666,20372.89,5342360,2113536,62013440,65748992,fits_by_lifetime_peak,True,21.09587996501886,245.04219828875807
13,100000,branch,ivf,4096,448,0,1024,0,0,0,0,0.9094000000000001,0.9094000000000001,0.49245799891650677,0.5393271334469318,0.11473589111119509,11473.25,12495104,4227072,73105408,76808192,fits_by_lifetime_peak,True,0.5365275149688304,8.948888260376364
14,100000,keys,sign,4096,512,0,0,8,12,50000,524288,0.8767,0.8951,2.29247915558517,2.862678002566099,0.046509155072271824,45190.82,4655760,103208,55197696,58900480,fits_by_lifetime_peak,True,4.619627996258468,101.51232280580014
15,100000,branch,ivf,4096,4096,1024,512,0,0,0,0,0.9676,1.0,1.2159999459981918,1.275858422741294,0.23903798311948776,26095.27,12495104,4227072,72548352,75988992,fits_by_lifetime_peak,True,1.1827850474739598,-2.731488486783318
16,100000,branch,ivf,2048,128,2048,128,0,0,0,0,0.8270000000000001,0.8270000000000001,0.25239563547074795,0.2751041669398546,0.04991453606635332,6290.97,9197824,2113536,65699840,69451776,fits_by_lifetime_peak,True,0.27742221110869797,9.915613473772034
17,100000,branch,ivf,2048,384,256,128,0,0,0,0,0.8995000000000003,0.9381999999999999,0.4551038146018982,0.4980921745300293,0.06906041875481606,12463.42,9197824,2113536,64454656,68108288,fits_by_lifetime_peak,True,0.5106786935510503,12.211472891688736
18,100000,keys,sign,2048,320,0,0,8,11,10000,524288,0.4793,0.9057,0.48070820048451424,0.6431812187656759,0.025609545409679413,10947.02,4517120,51272,54329344,58097664,fits_by_lifetime_peak,True,0.5351557217916321,11.326522254506832
19,100000,keys,ivf,2048,128,0,0,4,0,0,524288,0.8270000000000001,0.8270000000000001,0.2574995160102844,0.27789019513875246,0.0473121739923954,6290.97,4182060,2113536,58359808,62078976,fits_by_lifetime_peak,True,0.31483431830527275,22.26598448934498
20,100000,branch,sign,512,192,2048,128,0,0,0,0,0.9098999999999999,0.9885,1.5620836056768894,1.977366185747087,0.012886249460279942,40682.27,7485696,11264,57606144,61079552,fits_by_lifetime_peak,True,1.5493193159191796,-0.8171323040151113
21,100000,branch,ivf,512,96,256,128,0,0,0,0,0.09510000000000002,0.9154999999999999,0.11929124593734741,0.2093839691951871,0.016504228115081787,1924.02,7704832,528384,61865984,65667072,fits_by_lifetime_peak,True,0.09613142635051158,-19.414517305821022
22,100000,branch,ivf,512,224,256,1024,0,0,0,0,0.9813,0.9813,1.1799796484410763,1.2307618046179414,0.022666803561151028,44020.85,7704832,528384,62160896,65880064,fits_by_lifetime_peak,True,1.5120803879006366,28.144615875224076
23,100000,scan,sign,512,256,0,0,0,0,0,0,1.0,1.0,2.540500368922949,2.708753780461848,0.012547113001346588,100000.0,4000000,11264,53985280,58490880,fits_by_lifetime_peak,True,2.596225226972768,2.193459947161669
24,100000,keys,sign,2048,1536,0,0,12,11,50000,524288,0.8371999999999999,1.0,6.666229339316487,7.811012328602374,0.047211688943207264,42679.03,5043160,51272,56311808,60030976,fits_by_lifetime_peak,True,19.671961433882267,195.09877972334064
25,100000,keys,sign,512,160,0,0,12,9,10000,524288,0.503,0.9749,0.6069580558687449,1.223353878594935,0.011137551628053188,10293.91,4772640,11264,55263232,59015168,fits_by_lifetime_peak,True,0.9714909826276195,60.058998020401134
26,100000,keys,ivf,4096,768,0,0,12,0,0,524288,0.8841,0.9503,5.935916909947991,6.510019022971392,0.1417874451726675,13624.07,5490500,4227072,67190784,70828032,fits_by_lifetime_peak,True,20.96638602755991,253.21225592666877
27,100000,keys,ivf,4096,3072,0,0,8,0,50000,524288,0.9148999999999999,0.9992,3.9363750256597996,5.321481265127659,0.23326416965574026,51140.67,4939620,4227072,65667072,69189632,fits_by_lifetime_peak,True,6.777009864763967,72.16372476166777
28,100000,branch,sign,512,192,512,512,0,0,0,0,0.7353000000000001,0.9885,1.2536875437945127,1.679033343680203,0.01188215333968401,41918.54,7485696,11264,57507840,61095936,fits_by_lifetime_peak,True,1.433993656060315,14.382061396260927
29,100000,branch,ivf,512,192,256,128,0,0,0,0,0.061599999999999995,0.9728000000000001,0.14808308333158493,0.17077506054192781,0.021518003195524216,2492.67,7704832,528384,62095360,65830912,fits_by_lifetime_peak,True,0.13316094456940894,-10.076869299623247
30,100000,branch,sign,512,512,1024,1024,0,0,0,0,1.0,1.0,2.825416624546051,3.033053851686418,0.012922906316816807,100000.0,7485696,11264,57507840,61112320,fits_by_lifetime_peak,True,3.3999581257778915,20.334753333029255
31,100000,branch,ivf,2048,256,512,128,0,0,0,0,0.9017000000000002,0.9017000000000002,0.4342289175838232,0.4635003162547946,0.06046003196388483,12504.34,9197824,2113536,65404928,69124096,fits_by_lifetime_peak,True,0.5023030678208302,15.677019074591247
32,100000,branch,ivf,512,512,512,512,0,0,0,0,1.0,1.0,2.5975829921662807,2.7121107559651136,0.028080851770937443,100000.0,7704832,528384,61833216,65585152,fits_by_lifetime_peak,True,3.3975100978818347,30.795054792395547
33,100000,keys,ivf,4096,640,0,0,4,0,10000,524288,0.8056,0.9384999999999998,0.552312470972538,0.6730872904881835,0.1303016720339656,11764.37,4298080,4227072,63832064,67584000,fits_by_lifetime_peak,True,0.5190183107325737,-6.028138416164753
34,100000,branch,sign,2048,512,4096,1024,0,0,0,0,0.9654,0.9654,2.261978341266513,2.639862848445773,0.03472212702035904,75129.97,8550656,51272,59064320,62701568,fits_by_lifetime_peak,True,2.6832609149311955,18.62451845709543
35,100000,keys,ivf,2048,320,0,0,12,0,0,524288,0.9198,0.9236,5.5655622854828835,5.759775405749679,0.0670729298144579,14863.83,5342360,2113536,61898752,65568768,fits_by_lifetime_peak,True,20.91718399939102,275.8323584653979
36,100000,branch,ivf,2048,640,1024,128,0,0,0,0,0.9706,0.9706,0.9788540191948414,1.058504031971097,0.08052116259932518,31462.79,9197824,2113536,65372160,69107712,fits_by_lifetime_peak,True,1.176969122951642,20.239494334380993
37,100000,branch,ivf,2048,512,2048,512,0,0,0,0,0.9585999999999999,0.9585999999999999,0.7857908494770527,0.8299981243908405,0.07484421599656343,25104.98,9197824,2113536,64438272,68059136,fits_by_lifetime_peak,True,0.9531311473375841,21.295780928461696
38,100000,keys,ivf,4096,1536,0,0,12,0,0,524288,0.8073999999999998,0.9864,6.701583042740822,7.513072551228106,0.1770187495276332,17885.46,5490500,4227072,67551232,71221248,fits_by_lifetime_peak,True,21.101607856060923,214.8749738902103
39,100000,keys,ivf,2048,2048,0,0,8,0,50000,524288,0.8427,1.0,2.703563077375293,3.3532229019328943,0.11443546507507563,52171.14,4730800,2113536,60276736,63946752,fits_by_lifetime_peak,True,4.05738349345619,50.075414456215704
40,100000,branch,sign,4096,4096,1024,1024,0,0,0,0,0.8366,1.0,2.032375195994973,2.278664638288319,0.08415334392338991,65902.15,9931008,103208,60948480,64274432,fits_by_lifetime_peak,True,2.4373701848064466,19.927176321063268
41,100000,branch,sign,4096,448,0,1024,0,0,0,0,0.8735,0.8735,1.532020978629589,2.0480991574004292,0.04634040407836437,48304.48,9931008,103208,60227584,63897600,fits_by_lifetime_peak,True,1.7992268817368366,17.441399748080897
42,100000,branch,ivf,4096,640,0,1024,0,0,0,0,0.9384999999999998,0.9384999999999998,0.6491667591035366,0.6850834470242262,0.12909506913274527,16339.63,12495104,4227072,73089024,76808192,fits_by_lifetime_peak,True,0.7262734838340583,11.877799294129264
43,100000,keys,ivf,2048,256,0,0,12,0,50000,524288,0.9015000000000001,0.9017000000000002,5.249103996902704,5.5574537720531225,0.061839669942855835,12362.06,5342360,2113536,62029824,65667072,fits_by_lifetime_peak,True,20.842783188007914,297.0731614444378
44,100000,branch,ivf,4096,512,2048,512,0,0,0,0,0.9201999999999999,0.9201999999999999,0.5229366943240166,0.5699500907212496,0.11644868645817041,13084.63,12495104,4227072,72925184,76693504,fits_by_lifetime_peak,True,0.598381687960954,14.42717530741704
45,100000,branch,ivf,4096,384,512,512,0,0,0,0,0.8951000000000002,0.8951000000000002,0.43008336797356606,0.4546718904748559,0.10700863786041737,9854.84,12495104,4227072,73105408,76873728,fits_by_lifetime_peak,True,0.4713283123957205,9.589988242625891
46,100000,branch,ivf,4096,224,512,1024,0,0,0,0,0.8319999999999999,0.8319999999999999,0.30106259509921074,0.33190827816724777,0.09104586206376553,5800.3,12495104,4227072,72417280,76136448,fits_by_lifetime_peak,True,0.3087751272647916,2.561770306616573
47,100000,keys,ivf,4096,4096,0,0,8,0,0,524288,0.9999000000000001,1.0,10.156332980841398,11.051427130587397,0.2505655074492097,98901.71,4939620,4227072,65748992,69287936,fits_by_lifetime_peak,True,23.366968568684484,130.07288765308536
48,100000,branch,ivf,2048,1024,2048,128,0,0,0,0,0.9917,0.9917,1.5067709609866142,1.5644690953195095,0.09386296384036541,50504.95,9197824,2113536,65552384,69206016,fits_by_lifetime_peak,True,1.8485230900999352,22.68109340848632
49,100000,keys,sign,512,256,0,0,4,9,50000,524288,0.8256999999999999,1.0,1.6763333696871996,2.2436209255829453,0.01280586700886488,61238.55,4053760,11264,53166080,56934400,fits_by_lifetime_peak,True,1.658516889998721,-1.062824376740945
50,100000,branch,ivf,2048,448,4096,512,0,0,0,0,0.9505999999999999,0.9505999999999999,0.7137709762901068,0.7467585615813732,0.07293125614523888,21956.14,9197824,2113536,65748992,69451776,fits_by_lifetime_peak,True,0.8431133308285723,18.12098822100261
51,100000,branch,ivf,4096,448,256,512,0,0,0,0,0.8491000000000001,0.9094000000000001,0.35314541310071945,0.3802281338721514,0.1135462336242199,6606.3,12495104,4227072,72957952,76726272,fits_by_lifetime_peak,True,0.3609598481224255,2.2128094353804695
52,100000,keys,ivf,4096,192,0,0,4,0,50000,524288,0.8103,0.8103,0.2768749836832285,0.3080704947933554,0.08314919658005238,4992.93,4298080,4227072,63569920,67321856,fits_by_lifetime_peak,True,0.3542526790465935,27.94679906939246
53,100000,keys,none,1,1,0,0,4,0,10000,524288,0.5626,1.0,1.470646122470498,1.6794955590739846,0.0004695868119597435,38920.4,4000160,0,53379072,56508416,fits_by_lifetime_peak,True,1.4664939052520316,-0.28233965704076436
54,100000,branch,sign,4096,1536,0,1024,0,0,0,0,0.9973000000000001,0.9973000000000001,2.760458504781127,2.936458168551326,0.07899504620581865,94532.16,9931008,103208,60669952,63963136,fits_by_lifetime_peak,True,3.4000685633164975,23.17042829760212
55,100000,keys,sign,4096,2048,0,0,4,12,0,524288,1.0,1.0,3.361353650689125,3.5014771157875657,0.0854200217872858,100000.0,4215420,103208,54034432,57622528,fits_by_lifetime_peak,True,3.939942960230077,17.2129852930629
56,100000,keys,sign,2048,256,0,0,4,11,0,524288,0.8682000000000001,0.8682000000000001,1.514500007033348,2.103047724813223,0.02409546636044979,48952.63,4150360,51272,53231616,56967168,fits_by_lifetime_peak,True,1.5916943569387771,5.0970187881768325
57,100000,branch,sign,512,224,256,128,0,0,0,0,0.06970000000000001,0.9961,0.22258330136537552,0.24384555872529745,0.010689585469663143,5805.4,7485696,11264,57425920,61095936,fits_by_lifetime_peak,True,0.23350090283537764,4.904950822020848
58,100000,keys,none,1,1,0,0,12,0,0,524288,1.0,1.0,2.847687341272831,2.895049937069416,0.00047457870095968246,100000.0,4036860,0,53379072,56541184,fits_by_lifetime_peak,True,2.878832956420769,1.0937161076825408
59,100000,keys,ivf,512,128,0,0,4,0,10000,524288,0.7121999999999998,0.9421999999999998,0.44018751941621304,0.5949193378910422,0.01973628532141447,15179.44,4060960,528384,54673408,58392576,fits_by_lifetime_peak,True,0.4419467034483338,0.39964423217946354
60,100000,keys,ivf,4096,512,0,0,12,0,10000,524288,0.8774000000000001,0.9201999999999999,4.177499562501907,5.634666210971773,0.11765253730118275,9567.44,5490500,4227072,67174400,70909952,fits_by_lifetime_peak,True,14.932246455075257,257.4445965024189
