case_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,key_offset,candidate_target,key_limit,recall,routing_recall,p50_ms,p95_ms,mean_routing_ms,mean_scored,logical_bytes,routing_bytes,rss_before_queries,lifetime_peak_bytes,budget_status,power_unchanged,predicted_p50_ms,prediction_error_percent
0,100000,keys,sign,256,64,0,0,16,8,0,32768,0.4052,0.942,0.6034998223185539,1.0899496264755726,0.010249931365251541,4537.24,5220920,5120,56410112,60194816,fits_by_lifetime_peak,True,1.3848432708495446,129.46871227388087
1,100000,keys,ivf,64,4,0,0,16,0,10000,32768,0.6776,0.6972,0.9282082319259644,0.9722589515149593,0.0043916888535022736,4648.68,4983620,66048,57065472,60637184,fits_by_lifetime_peak,True,1.456078516904239,56.869812917192334
2,100000,keys,sign,16,16,0,0,8,4,0,32768,1.0,1.0,2.6029576547443867,3.0157245695590973,0.0064101628959178925,100000.0,4036860,192,52264960,56115200,fits_by_lifetime_peak,True,2.7926959313104818,7.289333970541589
3,100000,keys,sign,64,16,0,0,16,6,0,32768,0.658,0.9356,0.9302077814936638,1.441541407257318,0.005233362317085266,13367.92,4892020,1024,55033856,58851328,fits_by_lifetime_peak,True,1.6515647502391813,77.547939621319
4,100000,keys,sign,64,4,0,0,8,6,1000,32768,0.156,0.5764,0.05837529897689819,0.0862750224769115,0.0032050907611846924,1260.52,4091180,1024,52396032,56246272,fits_by_lifetime_peak,True,0.054606966645604015,-6.455354229167176
5,100000,branch,sign,64,16,8192,512,0,0,0,0,0.9356,0.9356,2.789875026792288,3.3080078661441803,0.007011666893959045,75454.16,7235840,1024,56344576,59768832,fits_by_lifetime_peak,True,2.8677567752794366,2.7915855634829123
6,100000,keys,ivf,64,1,0,0,8,0,1000,32768,0.3224,0.3968,0.05224999040365219,0.06417520344257353,0.003453213721513748,1083.48,4099720,66048,53772288,57622528,fits_by_lifetime_peak,True,0.05021184074373309,-3.9007656157897364
7,100000,keys,ivf,64,16,0,0,8,0,0,32768,0.8988,0.8988,0.7197079248726368,0.7512079551815987,0.005616545677185059,24679.12,4099720,66048,53821440,57622528,fits_by_lifetime_peak,True,0.8506189624437801,18.189467289013116
8,100000,branch,ivf,64,1,512,128,0,0,0,0,0.3968,0.3968,0.08437503129243851,0.10862480849027634,0.003405120223760605,1737.64,7262464,66048,60489728,64339968,fits_by_lifetime_peak,True,0.07644509656317088,-9.398437674983473
9,100000,scan,ivf,256,1,0,0,0,0,0,0,0.2624,0.2624,0.02933293581008911,0.041166320443153374,0.005751755088567734,409.56,4000000,264192,57884672,61734912,fits_by_lifetime_peak,True,0.03276806056519378,11.71081127830087
