target,case_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,key_offset,candidate_target,key_limit,recall,routing_recall,p50_ms,p95_ms,mean_routing_ms,mean_scored,logical_bytes,routing_bytes,rss_before_queries,lifetime_peak_bytes,budget_status,power_unchanged,predicted_p50_ms,prediction_error_percent
0.8,869,100000,scan,ivf,1024,64,0,0,0,0,0,0,0.8094,0.8094,0.20935386419296265,0.22687898017466068,0.02278418280184269,6330.1,4000000,1056768,58589184,62390272,fits_by_lifetime_peak,True,0.2035164983237049,-2.7882771076427004
0.8,1293,100000,branch,ivf,1024,64,2048,512,0,0,0,0,0.8094,0.8094,0.21218694746494293,0.2273656195029616,0.021837945096194744,6330.1,8245504,1056768,62898176,66699264,fits_by_lifetime_peak,True,0.2492294842617841,17.457500208848266
0.8,619,100000,keys,ivf,1024,64,0,0,4,0,50000,524288,0.8094,0.8094,0.22179214283823967,0.2377975732088089,0.021842094138264656,6330.1,4107240,1056768,55853056,59670528,fits_by_lifetime_peak,True,0.25168826663002497,13.479343050303427
0.9,354,100000,scan,ivf,256,48,0,0,0,0,0,0,0.9081999999999999,0.9081999999999999,0.5041875410825014,0.5722939735278487,0.009048329666256905,18642.88,4000000,264192,56279040,60112896,fits_by_lifetime_peak,True,0.5014766281019276,-0.5376794862390732
0.9,699,100000,branch,ivf,256,48,256,1024,0,0,0,0,0.9081999999999999,0.9081999999999999,0.5152290686964989,0.5876747658476233,0.009700404480099678,18642.88,7473408,264192,61685760,65503232,fits_by_lifetime_peak,True,0.6385871399703849,23.942374133892553
0.9,717,100000,keys,ivf,256,48,0,0,4,0,0,524288,0.9081999999999999,0.9081999999999999,0.5402287933975458,0.608400022611022,0.00980620738118887,18642.88,4034260,264192,54525952,58310656,fits_by_lifetime_peak,True,0.5555264135699731,2.831692860393331
0.95,411,100000,scan,ivf,1024,256,0,0,0,0,0,0,0.9520000000000001,0.9520000000000001,0.7022502832114697,0.7282837526872754,0.03835540730506182,25019.66,4000000,1056768,58572800,62341120,fits_by_lifetime_peak,True,0.698029191898077,-0.6010807562923492
0.95,553,100000,branch,ivf,1024,256,4096,512,0,0,0,0,0.9520000000000001,0.9520000000000001,0.7281666621565819,0.7507277885451913,0.037656244821846485,25019.66,8245504,1056768,61308928,65011712,fits_by_lifetime_peak,True,0.9000338005013735,23.60271999212098
0.95,859,100000,keys,ivf,1024,256,0,0,4,0,0,524288,0.9520000000000001,0.9520000000000001,0.7951040752232075,0.8291875943541527,0.03958916291594505,25019.66,4107240,1056768,56082432,59850752,fits_by_lifetime_peak,True,0.8892517774283268,11.840928142481166
0.99,46,100000,scan,ivf,1024,512,0,0,0,0,0,0,0.9906,0.9906,1.3160421513020992,1.3752496102824807,0.045750061981379986,49975.93,4000000,1056768,58621952,62390272,fits_by_lifetime_peak,True,1.3436384343814523,2.0969148330126863
0.99,626,100000,branch,ivf,1024,512,1024,512,0,0,0,0,0.9906,0.9906,1.387542113661766,1.4216076815500855,0.045624603517353535,49975.93,8245504,1056768,62570496,66338816,fits_by_lifetime_peak,True,1.7509166443188615,26.188360488615302
0.99,7,100000,keys,ivf,1024,512,0,0,4,0,50000,524288,0.9902000000000001,0.9906,1.4789579436182976,1.6742979176342487,0.046102055348455906,49885.15,4107240,1056768,55902208,59621376,fits_by_lifetime_peak,True,1.7021549865833432,15.09150709309488
