case_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,key_offset,candidate_target,key_limit,recall,routing_recall,p50_ms,p95_ms,mean_routing_ms,mean_scored,logical_bytes,routing_bytes,rss_before_queries,lifetime_peak_bytes,budget_status,power_unchanged,predicted_p50_ms,prediction_error_percent
0,100000,branch,sign,64,48,1024,1024,0,0,0,0,1.0,1.0,3.2073124311864376,3.6372312344610687,0.007040412165224552,100000.0,7235840,1024,56311808,59834368,fits_by_lifetime_peak,True,3.4650625947654374,8.03632851831817
1,100000,branch,ivf,256,48,512,1024,0,0,0,0,0.9082,0.9082,0.5455208010971546,0.6234711967408657,0.009962869808077812,18642.88,7473408,264192,61620224,65372160,fits_by_lifetime_peak,True,0.6398627192324444,17.29391765548607
2,100000,keys,sign,16,4,0,0,8,4,50000,524288,0.8429,0.9138,1.3836873695254326,1.4352789847180247,0.00331296119838953,48553.01,4036860,192,52264960,56115200,fits_by_lifetime_peak,True,1.3923467405441872,0.625818462282024
3,100000,branch,ivf,256,128,2048,128,0,0,0,0,0.9348,0.9825,1.3739168643951416,1.72499381005764,0.013745059259235859,35591.1,7473408,264192,61751296,65355776,fits_by_lifetime_peak,True,1.3807920780928646,0.5004097319054157
4,100000,branch,sign,256,64,4096,512,0,0,0,0,0.946,0.946,2.3647083435207605,2.8779162093997,0.00809547957032919,74944.3,7338240,5120,56819712,60424192,fits_by_lifetime_peak,True,2.7176630050554382,14.925927863440936
5,100000,branch,sign,64,48,2048,512,0,0,0,0,1.0,1.0,3.405666910111904,3.608677675947547,0.005709589459002018,100000.0,7235840,1024,56377344,59768832,fits_by_lifetime_peak,True,3.5878425692560776,5.349191919012042
6,100000,branch,ivf,256,24,256,1024,0,0,0,0,0.8166,0.8166,0.2718332689255476,0.3267142456024885,0.007972135208547115,9263.34,7473408,264192,61489152,65339392,fits_by_lifetime_peak,True,0.3268651372902874,20.244714189054047
7,100000,keys,ivf,1024,512,0,0,4,0,50000,524288,0.9902,0.9906,1.4789579436182976,1.6742979176342487,0.046102055348455906,49885.15,4107240,1056768,55902208,59621376,fits_by_lifetime_peak,True,1.7021549865833432,15.09150709309488
8,100000,branch,ivf,64,8,2048,512,0,0,0,0,0.8246,0.8246,0.41068741120398045,0.45570265501737595,0.004333821125328541,12891.31,7262464,66048,60751872,64585728,fits_by_lifetime_peak,True,0.46363920693107996,12.893454798593606
9,100000,branch,sign,16,8,4096,512,0,0,0,0,1.0,1.0,3.7741458509117365,4.1824583895504475,0.004712101072072983,100000.0,7209216,192,57704448,60522496,fits_by_lifetime_peak,True,3.8677218473948782,2.4793953434665505
