target,case_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,key_offset,candidate_target,key_limit,recall,routing_recall,p50_ms,p95_ms,mean_routing_ms,mean_scored,logical_bytes,routing_bytes,rss_before_queries,lifetime_peak_bytes,budget_status,power_unchanged,predicted_p50_ms,prediction_error_percent
0.8,524,10000,scan,ivf,64,16,0,0,0,0,0,0,0.8062,0.8062,0.08431309834122658,0.09939779993146658,0.0038566812872886658,2571.08,400000,66048,50003968,50249728,fits_by_lifetime_peak,True,0.08663864469498034,2.7582266569566194
0.8,822,10000,branch,ivf,64,16,1024,1024,0,0,0,0,0.8062,0.8062,0.0930209644138813,0.10575188789516687,0.0038870936259627342,2571.08,787072,66048,50216960,50429952,fits_by_lifetime_peak,True,0.10150693223779975,9.122640124608417
0.8,338,10000,keys,ivf,64,16,0,0,4,0,0,524288,0.8062,0.8062,0.09533343836665154,0.10842336341738701,0.004007075913250446,2571.08,407800,66048,49528832,49741824,fits_by_lifetime_peak,True,0.1010561504218124,6.002838199490257
0.9,757,10000,scan,ivf,256,96,0,0,0,0,0,0,0.9189,0.9189,0.12985384091734886,0.14267461374402046,0.010922462679445744,3967.67,400000,264192,49659904,49823744,fits_by_lifetime_peak,True,0.1297768541528339,-0.05928724477541891
0.9,261,10000,branch,ivf,256,96,1024,512,0,0,0,0,0.9189,0.9189,0.13870839029550552,0.15519631560891867,0.010853796266019344,3967.67,969344,264192,50184192,50380800,fits_by_lifetime_peak,True,0.16088144474538477,15.98537363359316
0.9,1080,10000,keys,ivf,256,96,0,0,4,0,10000,524288,0.9189,0.9189,0.15658396296203136,0.168516649864614,0.01091832760721445,3967.67,423380,264192,49430528,49594368,fits_by_lifetime_peak,True,0.19570958639396824,24.98699272378493
0.95,14,10000,scan,ivf,256,128,0,0,0,0,0,0,0.9574,0.9574,0.1651665661484003,0.1810481073334813,0.011248304508626461,5262.45,400000,264192,49463296,49643520,fits_by_lifetime_peak,True,0.16365131138167,-0.9174101042755067
0.95,23,10000,branch,ivf,256,128,2048,512,0,0,0,0,0.9574,0.9574,0.17504161223769188,0.1906812423840165,0.011352910660207272,5262.45,969344,264192,50118656,50282496,fits_by_lifetime_peak,True,0.20595944890859347,17.66313522576435
0.95,601,10000,keys,ivf,256,128,0,0,4,0,50000,524288,0.9574,0.9574,0.19291695207357407,0.20942131523042917,0.011469153687357903,5262.45,423380,264192,49545216,49741824,fits_by_lifetime_peak,True,0.25114786844684056,30.18444763270911
0.99,205,10000,scan,ivf,256,192,0,0,0,0,0,0,0.9926,0.9926,0.23502111434936523,0.2447274513542652,0.012782150879502296,7785.02,400000,264192,49741824,49872896,fits_by_lifetime_peak,True,0.22895065806568057,-2.582940813845669
0.99,287,10000,branch,ivf,256,192,256,128,0,0,0,0,0.9926,0.9926,0.24391664192080498,0.2618083730340004,0.012580915354192257,7785.02,969344,264192,50528256,50675712,fits_by_lifetime_peak,True,0.2944968742224591,20.736687707465485
0.99,850,10000,keys,ivf,256,192,0,0,4,0,10000,524288,0.9926,0.9926,0.273208599537611,0.29064416885375977,0.012796605005860329,7785.02,423380,264192,49479680,49741824,fits_by_lifetime_peak,True,0.35924889775854973,31.492529285885105
0.8,1403,1000000,scan,ivf,4096,64,0,0,0,0,0,0,0.8,0.8,0.5180209409445524,0.5649952683597803,0.06297911517322063,16150.48,40000000,4227072,142540800,182353920,fits_by_lifetime_peak,True,0.49488107866732145,-4.466974295486603
0.8,2228,1000000,branch,ivf,4096,64,2048,512,0,0,0,0,0.8,0.8,0.5163955502212048,0.5706225289031863,0.06290293298661709,16150.48,76110336,4227072,179994624,219758592,fits_by_lifetime_peak,True,0.6152878779902718,19.150499597973926
0.8,2025,1000000,keys,ivf,4096,64,0,0,4,0,50000,524288,0.8,0.8,0.5682085175067186,0.6373375188559294,0.06337751168757677,16150.48,40460980,4227072,113393664,153239552,fits_by_lifetime_peak,True,0.5546501832577287,-2.3861547004757067
0.9,2184,1000000,scan,ivf,4096,192,0,0,0,0,0,0,0.9012,0.9012,1.3420211616903543,1.4698895625770092,0.08894168306142092,47537.05,40000000,4227072,142491648,182255616,fits_by_lifetime_peak,True,1.3260738443024291,-1.188305955461877
0.9,2546,1000000,branch,ivf,4096,192,0,1024,0,0,0,0,0.9012,0.9012,1.3633123598992825,1.4704994624480605,0.08825958240777254,47537.05,76110336,4227072,179961856,219758592,fits_by_lifetime_peak,True,1.6915697772596026,24.077931588955217
0.9,1723,1000000,keys,ivf,4096,192,0,0,4,0,50000,524288,0.901,0.9012,1.4599794521927834,1.5561315463855863,0.08689996786415577,47404.0,40460980,4227072,113278976,153010176,fits_by_lifetime_peak,True,1.4972934628543375,2.5557901246836767
0.95,2327,1000000,scan,ivf,4096,512,0,0,0,0,0,0,0.9625,0.9625,3.3439795952290297,3.552275220863521,0.12181493453681469,125219.26,40000000,4227072,142573568,182370304,fits_by_lifetime_peak,True,3.3621090523526647,0.54215214559028
0.95,1443,1000000,branch,ivf,4096,512,1024,512,0,0,0,0,0.9625,0.9625,3.4304375294595957,3.690620814450085,0.12223121710121632,125219.26,76110336,4227072,179929088,219627520,fits_by_lifetime_peak,True,4.344375755608463,26.64203088673771
0.95,2385,1000000,keys,ivf,4096,512,0,0,4,0,0,524288,0.9625,0.9625,3.7895420100539923,4.080297891050577,0.11952007189393044,125219.26,40460980,4227072,113557504,153272320,fits_by_lifetime_peak,True,3.8309734773233504,1.0933106734121623
0.99,2239,1000000,scan,ivf,1024,384,0,0,0,0,0,0,0.9912,0.9912,9.456729283556342,9.939441899769008,0.047631305642426014,374787.34,40000000,1056768,120078336,159858688,fits_by_lifetime_peak,True,9.683530203138872,2.398301915831502
0.99,2262,1000000,branch,ivf,4096,1536,0,1024,0,0,0,0,0.9942,0.9942,10.062083369120955,10.487189004197717,0.18198961857706308,374936.61,76110336,4227072,168263680,207831040,fits_by_lifetime_peak,True,12.781237942820647,27.02377304927104
0.99,2354,1000000,keys,ivf,1024,384,0,0,4,0,0,524288,0.9912,0.9912,10.229770792648196,10.768830799497664,0.04828996490687132,374787.34,40138360,1056768,106741760,146505728,fits_by_lifetime_peak,True,10.391407985111957,1.5800666089207382
