case_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,key_offset,candidate_target,key_limit,recall,routing_recall,p50_ms,p95_ms,mean_routing_ms,mean_scored,logical_bytes,routing_bytes,rss_before_queries,lifetime_peak_bytes,budget_status,power_unchanged,predicted_p50_ms,prediction_error_percent
0,10000,branch,sign,256,192,1024,1024,0,0,0,0,1.0,1.0,0.3067499492317438,0.3251499030739069,0.00661992933601141,10000.0,889472,5080,49905664,50135040,fits_by_lifetime_peak,True,0.3581310619533013,16.7501617686463
1,10000,branch,ivf,1024,192,512,1024,0,0,0,0,0.8608,0.8608,0.13441615737974644,0.14667508658021688,0.03421544563025236,2307.36,2497152,1056768,52854784,53018624,fits_by_lifetime_peak,True,0.13621632879842605,1.3392522549159347
2,10000,keys,sign,64,16,0,0,8,6,50000,524288,0.9081,0.9081,0.2931663766503334,0.3268665634095669,0.003123409114778042,7760.42,441520,1024,49332224,49545216,fits_by_lifetime_peak,True,0.3972363754050112,35.49861343028591
3,10000,branch,ivf,1024,512,2048,128,0,0,0,0,0.9839,0.9839,0.27377111837267876,0.2864282578229904,0.044822124764323235,5888.64,2497152,1056768,53215232,53362688,fits_by_lifetime_peak,True,0.28549879833931324,4.283753537022061
4,10000,branch,sign,1024,256,4096,512,0,0,0,0,0.9438,0.9438,0.274021178483963,0.30937446281313896,0.015464629977941513,7866.09,1428096,20976,50626560,50790400,fits_by_lifetime_peak,True,0.31595259870252235,15.302255267475019
5,10000,branch,sign,256,192,2048,512,0,0,0,0,1.0,1.0,0.3041874151676893,0.32808680552989244,0.006565069779753685,10000.0,889472,5080,50102272,50298880,fits_by_lifetime_peak,True,0.3609448437416106,18.658703727973958
6,10000,keys,ivf,4096,2048,0,0,4,0,50000,524288,0.9979,0.9979,0.6791045889258385,0.7265139603987336,0.18924959935247898,6134.92,525500,4227072,58720256,58998784,fits_by_lifetime_peak,True,1.648360696473111,142.72560123329106
7,10000,branch,sign,64,32,4096,512,0,0,0,0,1.0,1.0,0.30258367769420147,0.3264687955379486,0.0037504686042666435,10000.0,756352,1024,49496064,49676288,fits_by_lifetime_peak,True,0.3555458276687825,17.50330697880733
8,10000,keys,ivf,1024,768,0,0,4,0,0,524288,0.9987,0.9987,0.4516041371971369,0.47619203105568886,0.050686285831034184,8373.57,458100,1056768,50905088,51118080,fits_by_lifetime_peak,True,0.7717305390819332,70.88650778791535
9,10000,branch,sign,256,192,256,128,0,0,0,0,0.7025,1.0,0.1981663517653942,0.24719771463423967,0.006478307768702507,5374.64,889472,5080,50036736,50266112,fits_by_lifetime_peak,True,0.20850312004561838,5.216207589299371
10,10000,keys,ivf,1024,512,0,0,12,0,50000,524288,0.9282,0.9839,4.999042022973299,5.2589829079806805,0.048182057216763496,4664.88,576680,1056768,51200000,51511296,fits_by_lifetime_peak,True,20.623088913871236,312.5408192028993
11,10000,keys,ivf,1024,384,0,0,12,0,50000,524288,0.938,0.9597,4.698583157733083,4.9668889958411455,0.0433267280459404,4028.03,576680,1056768,51347456,51593216,fits_by_lifetime_peak,True,20.599551023617096,338.4204840498285
12,10000,keys,sign,256,192,0,0,4,8,0,524288,1.0,1.0,0.32793753780424595,0.3482170170173049,0.006739660166203976,10000.0,423840,5080,49233920,49528832,fits_by_lifetime_peak,True,0.3723940025054622,13.556381803340066
13,10000,branch,ivf,256,64,1024,512,0,0,0,0,0.8526,0.8526,0.10439613834023476,0.11614395771175623,0.009772158227860928,2651.82,969344,264192,50118656,50348032,fits_by_lifetime_peak,True,0.11443940719425238,9.620345171471634
14,10000,scan,ivf,256,128,0,0,0,0,0,0,0.9574,0.9574,0.1651665661484003,0.1810481073334813,0.011248304508626461,5262.45,400000,264192,49463296,49643520,fits_by_lifetime_peak,True,0.16365131138167,-0.9174101042755067
15,10000,keys,sign,1024,768,0,0,12,10,50000,524288,0.9428,1.0,4.690041299909353,5.170020624063909,0.020642089657485485,7409.91,555680,20976,49872896,50167808,fits_by_lifetime_peak,True,20.67428281108561,340.8123828565261
16,10000,branch,ivf,1024,512,4096,1024,0,0,0,0,0.9839,0.9839,0.27162511833012104,0.28363699093461037,0.04524382762610912,5888.64,2497152,1056768,53018624,53198848,fits_by_lifetime_peak,True,0.2861044269840368,5.330622124688134
17,10000,branch,ivf,4096,768,4096,128,0,0,0,0,0.9511,0.9511,0.29939552769064903,0.32137888483703136,0.13333255425095558,2598.94,8788608,4227072,66961408,67076096,fits_by_lifetime_peak,True,0.28064025540267035,-6.264379575955992
18,10000,branch,ivf,64,48,2048,1024,0,0,0,0,0.986,0.986,0.2219167072325945,0.23693116381764412,0.004687951877713203,7660.02,787072,66048,50479104,50675712,fits_by_lifetime_peak,True,0.2745817296942053,23.731887120338246
19,10000,keys,sign,4096,2048,0,0,12,12,0,524288,0.7336,1.0,4.350499715656042,4.783668834716082,0.05598669871687889,4249.7,577180,66752,50200576,50446336,fits_by_lifetime_peak,True,20.61960281685946,373.9594107466821
20,10000,keys,sign,64,16,0,0,8,6,10000,524288,0.9081,0.9081,0.29602041468024254,0.33947257325053215,0.0036429334431886673,7760.42,441520,1024,49266688,49463296,fits_by_lifetime_peak,True,0.3987719593510431,34.71096572234433
21,10000,branch,sign,1024,384,2048,512,0,0,0,0,0.9948,0.9948,0.32960413955152035,0.3484726184979081,0.017971242778003216,9602.95,1428096,20976,50528256,50675712,fits_by_lifetime_peak,True,0.37779976246841207,14.622274763438847
22,10000,branch,sign,256,64,256,128,0,0,0,0,0.8548,0.915,0.21343748085200787,0.27004091534763575,0.005943356081843376,5862.14,889472,5080,50003968,50167808,fits_by_lifetime_peak,True,0.2292877579101546,7.426191967256646
23,10000,branch,ivf,256,128,2048,512,0,0,0,0,0.9574,0.9574,0.17504161223769188,0.1906812423840165,0.011352910660207272,5262.45,969344,264192,50118656,50282496,fits_by_lifetime_peak,True,0.20595944890859347,17.66313522576435
24,10000,branch,ivf,1024,192,1024,1024,0,0,0,0,0.8608,0.8608,0.13141613453626633,0.15185431111603975,0.03364718519151211,2307.36,2497152,1056768,52822016,53116928,fits_by_lifetime_peak,True,0.13518631835493916,2.8688896017044163
25,10000,branch,sign,4096,2048,2048,512,0,0,0,0,1.0,1.0,0.45206258073449135,0.49181056674569845,0.05255593452602625,10000.0,2904704,66752,52346880,52543488,fits_by_lifetime_peak,True,0.4750887278442171,5.093575113497306
26,10000,branch,sign,4096,512,2048,512,0,0,0,0,0.8914,0.8914,0.2789164427667856,0.31277036760002375,0.03692499361932278,6239.15,2904704,66752,52314112,52527104,fits_by_lifetime_peak,True,0.2984134630074914,6.990272802599917
27,10000,keys,sign,64,32,0,0,12,6,50000,524288,1.0,1.0,1.6689165495336056,1.7000669846311212,0.004944661632180214,10000.0,499940,1024,49692672,49905664,fits_by_lifetime_peak,True,5.408906637140643,224.0968902041395
28,10000,branch,ivf,4096,4096,2048,128,0,0,0,0,0.9979,1.0,0.7468336261808872,0.7720027817413211,0.23445461876690388,6134.92,8788608,4227072,67043328,67289088,fits_by_lifetime_peak,True,0.5870806475892817,-21.390705103697684
29,10000,keys,ivf,1024,384,0,0,8,0,50000,524288,0.9597,0.9597,1.0351876262575388,1.1195606086403131,0.04208466503769159,4510.87,534860,1056768,51412992,51560448,fits_by_lifetime_peak,True,4.011678645506642,287.53154923323996
30,10000,branch,sign,64,48,512,1024,0,0,0,0,1.0,1.0,0.3054160624742508,0.3283124649897218,0.0037816353142261505,10000.0,756352,1024,49414144,49643520,fits_by_lifetime_peak,True,0.35163604077394833,15.133447116454235
31,10000,keys,ivf,256,96,0,0,12,0,50000,524288,0.9189,0.9189,3.2438747584819794,3.4651750698685646,0.012727086432278156,3967.67,554080,264192,49840128,50003968,fits_by_lifetime_peak,True,15.466957112475463,376.8050021670215
