setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
s0000,100000,branch,sign,64,32,1024,1024,0,0,0,0,1.0,1.0,3.1678539235144854,3.426067461259663,3,60047360
s0001,100000,branch,ivf,256,48,512,1024,0,0,0,0,0.9082,0.8927,0.5455208010971546,0.6234711967408657,1,65372160
s0002,100000,keys,sign,16,4,0,0,8,50000,0,0,0.8429,0.8114925,1.3836873695254326,1.4352789847180247,1,56115200
s0003,100000,branch,ivf,256,128,2048,128,0,0,0,0,0.9348,0.9094875,1.3739168643951416,1.72499381005764,1,65355776
s0004,100000,branch,sign,256,64,4096,512,0,0,0,0,0.946,0.9292,2.3647083435207605,2.8779162093997,1,60424192
s0005,100000,branch,sign,64,32,2048,512,0,0,0,0,1.0,1.0,3.489416791126132,3.9532379247248173,3,59785216
s0006,100000,branch,ivf,256,24,256,1024,0,0,0,0,0.8166,0.7905975,0.2718332689255476,0.3267142456024885,1,65339392
s0007,100000,keys,ivf,1024,512,0,0,4,50000,0,0,0.9902,0.9873975,1.4789579436182976,1.6742979176342487,1,59621376
s0008,100000,branch,ivf,64,8,2048,512,0,0,0,0,0.8246,0.7961,0.41068741120398045,0.45570265501737595,1,64585728
s0009,100000,branch,sign,16,8,4096,512,0,0,0,0,1.0,1.0,3.869166597723961,4.148318734951317,3,60522496
s0010,100000,keys,ivf,256,192,0,0,4,0,0,0,0.9974,0.9962,2.0642078015953302,2.168766362592578,1,58310656
s0011,100000,branch,sign,64,32,256,128,0,0,0,0,0.0663,,0.1112909521907568,0.23271548561751845,3,59850752
s0012,100000,keys,ivf,1024,64,0,0,8,10000,0,0,0.8094,0.7822975,0.39145792834460735,0.4249946214258671,1,61030400
s0013,100000,keys,ivf,256,128,0,0,12,50000,0,0,0.982,0.9768975,4.697604104876518,7.301050168462098,1,60325888
s0014,100000,keys,ivf,256,96,0,0,12,50000,0,0,0.9664,0.9587,4.920270526781678,5.239222897216678,1,60751872
s0015,100000,keys,sign,64,32,0,0,4,0,0,0,1.0,1.0,2.699750242754817,2.9527628095820546,3,56410112
s0016,100000,branch,ivf,64,16,1024,512,0,0,0,0,0.9051,0.887695,0.765250064432621,0.8187753614038229,1,64339968
