example,label,setting_id,method,clusters,probes,router,leaf_size,node_budget,key_bits,recall,p50_ms,process_p50_min_ms,process_p50_max_ms,mean_scored,mean_split_words,mean_leaf_words,mean_key_lookups,logical_index_bytes,index_array_capacity_bytes,lifetime_peak_bytes,complete_processes,memory_ok,power_unchanged,eligible
spread12,Large values in different positions,spread12-12,keys,256,256,ivf,0,0,8,1.0,39.658354595303535,39.03466649353504,40.26752104982734,812460.21875,0.0,0.0,53248.0,41308880,40454144,143474688,3,True,True,True
equal,All values equal in size,equal-08,branch,256,256,ivf,288,4096,0,0.4465625,20.921520655974746,20.5705005209893,21.593770710751414,251035.34375,175327.125,76602.59375,0.0,72243712,74514432,191447040,3,True,True,False
equal,All values equal in size,equal-16,branch,16,16,direct,320,4096,0,0.7265625,48.75487461686134,48.63283317536116,49.14643755182624,378486.5,2487510.875,1514323.34375,0.0,72014336,73957376,170426368,3,True,True,False
equal,All values equal in size,equal-12,keys,256,256,ivf,0,0,8,1.0,42.31283348053694,42.2154376283288,42.84787504002452,1000000.0,0.0,0.0,65536.0,41308880,40454144,143441920,3,True,True,True
spread12,Large values in different positions,spread12-00,scan,1,1,none,0,0,0,1.0,25.086729088798165,25.06900019943714,25.15391679480672,1000000.0,0.0,0.0,0.0,40000000,41943040,153878528,3,True,True,True
spread12,Large values in different positions,spread12-04,keys,1,1,none,0,0,1,1.0,26.860729325562716,26.855999836698174,26.867042062804103,968728.125,0.0,0.0,1.9375,40000040,40388608,136609792,3,True,True,True
first12,Large values at the start,first12-07,scan,4096,1,direct,0,0,0,1.0,0.022707972675561905,0.02204161137342453,0.023437663912773132,241.96875,0.0,0.0,0.0,40000000,50790400,189218816,3,True,True,True
spread12,Large values in different positions,spread12-16,branch,16,16,direct,320,0,0,1.0,0.6458540447056293,0.6326870061457157,0.6559381727129221,3367.9375,111859.0,13432.8125,0.0,72014336,73957376,168411136,3,True,True,True
equal,All values equal in size,equal-09,branch,256,256,ivf,320,4096,0,0.495,21.515041356906295,21.264937007799745,21.79308352060616,287806.09375,172182.40625,79759.65625,0.0,72243712,74514432,191414272,3,True,True,False
spread12,Large values in different positions,spread12-10,branch,256,256,ivf,1000000,0,0,1.0,25.902312016114593,25.825854390859604,25.976062286645174,1000000.0,0.0,15744.0,0.0,72243712,74514432,191512576,3,True,True,True
equal,All values equal in size,equal-05,keys,1,1,none,0,0,8,1.0,26.93929197266698,26.845208136364818,28.49295875057578,1000000.0,0.0,0.0,256.0,40005120,40388608,136560640,3,True,True,True
spread12,Large values in different positions,spread12-19,keys,16,16,direct,0,0,8,1.0,28.088958468288183,27.80599961988628,29.535791603848338,828147.5,0.0,0.0,3392.0,40081920,40388608,131481600,3,True,True,True
first12,Large values at the start,first12-09,branch,4096,1,direct,288,0,0,1.0,0.024124979972839355,0.02385396510362625,0.0247294083237648,241.96875,0.0,4.1875,0.0,75317760,86108160,225247232,3,True,True,True
